ref;Circuit name;sub_1_short;sub_2_short;Voltage level (kV);I_max_Summer;I_max_Interseason_1;I_max_Interseason_2;I_max_Winter;Resistance R (Ω);Reactance X (Ω);Capacity (nF);Half-Susceptance Hd/2 (μS);Length (m);
G.BANL61GIVOR;LIT 225kV N0 1 GIVORS-BANS-GIVORS;G.BAN;GIVOR;225;900;1015;1015;1112;0,020;0,190;5,606;0,000;558;
GODINL61RUEYR;LIT 225kV N0 1 GODIN-RUEYRES;GODIN;RUEYR;225;637;706;706;793;4,693;19,594;400,112;62,849;46373;
GODINL61SSVIC;LIT 225kV N0 1 GODIN-ST-VICTOR;GODIN;SSVIC;225;442;511;511;577;11,175;31,341;635,670;99,851;74374;
GODINL61VERLH;LIT 225kV N0 1 GODIN-VERLHAGUET;GODIN;VERLH;225;819;897;897;974;8,815;41,177;832,318;130,740;96865;
GOURJL61VERFE;LIT 225kV N0 1 GOURJADE - VERFEIL;GOURJ;VERFE;225;828;908;908;986;5,828;28,348;631,062;99,127;69653;
GRAFFL61MARL6;LIT 225kV N0 1 GRAFFENSTADEN-MARLENHEIM;GRAFF;MARL6;225;843;909;909;996;1,507;7,466;165,192;25,948;18385;
GRAFFL61SCHEE;LIT 225kV N0 1 GRAFFENSTADEN-SCHEER;GRAFF;SCHEE;225;654;758;758;857;2,123;9,657;210,668;33,092;23641;
G.COUL61ROUGE;LIT 225kV N0 1 GRAND-COURONNE-ROUGEMONTIER;G.COU;ROUGE;225;1308;1408;1408;1478;1,423;9,529;217,498;34,165;23798;
G.COUL61SSROU;LIT 225kV N0 1 GRAND-COURONNE-ST ETIENNE DU ROUVRAY;G.COU;SSROU;225;1300;1350;1350;1400;0,544;3,646;83,153;13,062;9071;
G.COUL61VAUPA;LIT 225kV N0 1 GRAND-COURONNE-VAUPALIERE (LA);G.COU;VAUPA;225;1308;1408;1408;1478;1,559;10,443;236,753;37,189;25989;
G.SYNL61HOLQU;LIT 225kV N0 1 GRANDE-SYNTHE-HOLQUE;G.SYN;HOLQU;225;1308;1408;1408;1478;1,146;7,622;175,943;27,637;19435;
G.SYNL61WARAN;LIT 225kV N0 1 GRANDE-SYNTHE-WARANDE;G.SYN;WARAN;225;1308;1408;1408;1478;0,884;5,897;135,526;21,288;14722;
G.QUEL61VAUPA;LIT 225kV N0 1 GRAND-QUEVILLY-VAUPALIERE (LA);G.QUE;VAUPA;225;820;820;1040;1040;0,560;3,820;234,734;35,000;9478;
GRANDL61PRATC;LIT 225kV N0 1 GRANDVAL-PRATCLAUX;GRAND;PRATC;225;790;790;862;926;4,456;19,925;430,568;67,633;49036;
GRANZL61NIORT;LIT 225kV N0 1 GRANZAY-NIORT;GRANZ;NIORT;225;1249;1337;1337;1434;1,599;10,685;243,614;38,267;26683;
GRANZL61SSFLO;LIT 225kV N0 1 GRANZAY-ST-FLORENT;GRANZ;SSFLO;225;1249;1337;1337;1434;0,644;4,290;98,733;15,509;10767;
GREZIL61ZFONC;LIT 225kV N0 1 GREZILLAC - PIQUAGE A FONCROSE;GREZI;ZFONC;225;932;1049;1049;1126;0,955;6,332;146,681;23,041;16000;
GRIM5L61TRANS;LIT 225KV N0 1 GRIMAUD - TRANS;GRIM5;TRANS;225;;;;;1,682;11,130;986,374;154,939;29772;
GRISOL61S.PON;LIT 225kV N0 1 GRISOLLES-SERRE-PONCON;GRISO;S.PON;225;1059;1141;1141;1215;1,064;6,729;155,739;24,463;17195;
G.CAIL61MASTA;LIT 225kV N0 1 GROS-CAILLOU-MASTAING;G.CAI;MASTA;225;1273;1346;1346;1453;0,253;1,676;38,835;6,100;4208;
GROSNL61GUEUG;LIT 225kV N0 1 GROSNE-GUEUGNON;GROSN;GUEUG;225;814;983;983;1099;3,290;21,899;504,909;79,311;54965;
GROSNL61MACON;LIT 225kV N0 1 GROSNE-MACON;GROSN;MACON;225;618;718;718;807;1,892;19,148;684,552;107,529;59040;
GUEBWL61LOGEL;LIT 225kV N0 1 GUEBWILLER - LOGELBACH;GUEBW;LOGEL;225;1070;1155;1155;1265;1,722;11,524;259,905;40,826;28559;
GUEBWL61VOGEL;LIT 225kV N0 1 GUEBWILLER - VOGELGRUN;GUEBW;VOGEL;225;1070;1155;1155;1265;2,087;13,943;313,035;49,171;34526;
GUEUGL61H.PAU;LIT 225kV N0 1 GUEUGNON - HENRI-PAUL;GUEUG;H.PAU;225;715;897;897;1032;2,391;15,925;541,805;85,107;40553;
GUPIEL61ZFONC;LIT 225kV N0 1 GUPIE - PIQUAGE A FONCROSE;GUPIE;ZFONC;225;831;984;984;1099;1,680;11,144;258,160;40,552;28000;
HAVR5L61P.SEP;LIT 225kV N0 1 HAVRE (LE) (POSTE) - PONT-SEPT;HAVR5;P.SEP;225;2200;2300;2300;2400;0,119;1,154;49,639;7,797;3952;
HOLQUL61LONG9;LIT 225kV N0 1 HOLQUE-LONGUENESSE;HOLQU;LONG9;225;969;969;1061;1061;0,782;5,214;149,229;23,441;12938;
HOLQUL61WARAN;LIT 225kV N0 1 HOLQUE-WARANDE;HOLQU;WARAN;225;1300;1350;1350;1400;1,263;8,407;193,563;30,405;21021;
HOURAL61MARSI;LIT 225kV N0 1 HOURAT (LE)-MARSILLON;HOURA;MARSI;225;419;580;580;720;4,321;19,708;426,327;66,967;48124;
HOURAL61MIEGE;LIT 225kV N0 1 HOURAT (LE)-MIEGEBAT;HOURA;MIEGE;225;392;542;542;673;0,556;2,595;53,971;8,478;6195;
I.NAPL61OTTMA;LIT 225kV N0 1 ILE-NAPOLEON - OTTMARSHEIM;I.NAP;OTTMA;225;1100;1187;1187;1302;0,673;4,467;103,485;16,255;11225;
I.NAPL61LUTTE;LIT 225kV N0 1 ILE-NAPOLEON-LUTTERBACH;I.NAP;LUTTE;225;847;985;985;1116;1,107;7,448;167,426;26,299;18460;
ISSOIL61LIGNA;LIT 225kV N0 1 ISSOIRE-LIGNAT;ISSOI;LIGNA;225;1002;1113;1113;1205;1,280;8,470;186,049;30,000;20903;
ISSOIL61PRATC;LIT 225kV N0 1 ISSOIRE-PRATCLAUX;ISSOI;PRATC;225;770;928;928;1037;4,546;30,660;657,513;103,282;74277;
JACQUL61SOLEI;LIT 225kV N0 1 JACQUARD-SOLEIL (LE);JACQU;SOLEI;225;1123;1211;1211;1290;1,008;6,752;154,060;24,200;16737;
JALISL61LESQU;LIT 225kV N0 1 JALIS-LESQUIVE;JALIS;LESQU;225;828;908;908;986;5,569;28,651;645,487;101,393;71153;
JONQUL61SSCES;LIT 225kV N0 1 JONQUIERES-ST-CESAIRE;JONQU;SSCES;225;1055;1055;1230;1230;1,244;8,273;223,516;35,110;21709;
KEMBSL61OTTMA;LIT 225kV N0 1 KEMBS-OTTMARSHEIM;KEMBS;OTTMA;225;539;661;661;754;1,240;5,637;125,847;19,768;13944;
KEMBSL61SIERE;LIT 225kV N0 1 KEMBS-SIERENTZ;KEMBS;SIERE;225;827;891;891;976;0,335;1,586;33,406;5,247;3807;
GAUDIL61LIVIE;LIT 225kV N0 1 LA GAUDIERE - LIVIERE;GAUDI;LIVIE;225;1090;1090;1260;1260;0,821;5,543;512,758;80,544;26831;
GAUDIL61MOREA;LIT 225kV N0 1 LA GAUDIERE - MOREAU;GAUDI;MOREA;225;946;1010;1010;1063;2,208;9,825;217,855;34,221;24262;
GAUDIL61SSVIN;LIT 225kV N0 1 LA GAUDIERE - ST VINCENT;GAUDI;SSVIN;225;1233;1320;1320;1389;3,260;22,082;507,881;79,778;55078;
LANDEL61LOSCO;LIT 225kV N0 1 LANDERNEAU-LOSCOAT;LANDE;LOSCO;225;1212;1262;1262;1318;1,551;10,314;237,566;37,317;25862;
LANDEL61MARTY;LIT 225kV N0 1 LANDERNEAU-MARTYRE (LA);LANDE;MARTY;225;1217;1266;1266;1322;0,222;1,324;31,132;4,890;3870;
LANDRL61MTOIS;LIT 225kV N0 1 LANDRES-MONTOIS;LANDR;MTOIS;225;1100;1187;1187;1302;1,396;9,385;215,504;33,851;23325;
LANDRL61MOULA;LIT 225kV N0 1 LANDRES-MOULAINE;LANDR;MOULA;225;1070;1155;1155;1265;1,207;8,015;176,797;27,771;19700;
LANDRL61STENA;LIT 225kV N0 1 LANDRES-STENAY;LANDR;STENA;225;1100;1187;1187;1302;2,804;19,287;453,320;71,207;49025;
LANDRL61VIGY;LIT 225kV N0 1 LANDRES-VIGY;LANDR;1VIGY;225;1070;1155;1155;1265;2,590;17,345;395,623;62,144;43185;
LANNEL61PRAGN;LIT 225kV N0 1 LANNEMEZAN-PRAGNERES;LANNE;PRAGN;225;737;820;820;889;5,673;25,457;565,026;88,754;62874;
LATENL61PERTA;LIT 225kV N0 1 LATENA-PERTAIN;LATEN;PERTA;225;1172;1235;1285;1388;1,003;6,694;196,022;30,791;16987;
LATENL61ROYE;LIT 225kV N0 1 LATENA-ROYE;LATEN;1ROYE;225;1172;1285;1285;1388;0,650;4,449;103,976;16,333;11268;
LAUNAL61RAN.P;LIT 225kV N0 1 LAUNAY-RANCE-POSTE;LAUNA;RAN.P;225;901;988;988;1050;5,956;27,074;597,910;93,919;66725;
LAVERL61PONTE;LIT 225kV N0 1 LAVERA - PONTEAU;LAVER;PONTE;225;2200;2300;2300;2400;0,063;0,696;33,918;5,328;2540;
LAVERL61SEPTE;LIT 225kV N0 1 LAVERA - SEPTEMES;LAVER;SEPTE;225;1062;1160;1160;1238;1,732;11,488;266,090;41,797;28904;
LAVERL61P.BOU;LIT 225kV N0 1 LAVERA-PORT-DE-BOUC (CLIENT);LAVER;P.BOU;225;1233;1320;1320;1389;0,526;3,524;80,894;12,707;8816;
LAVEYL61PRATC;LIT 225kV N0 1 LAVEYRUNE - PRATCLAUX;LAVEY;PRATC;225;315;443;443;546;6,679;19,423;385,704;60,586;45190;
LEGUEL61P.SIM;LIT 225kV N0 1 LEGUEVIN - PORTET-ST-SIMON;LEGUE;P.SIM;225;813;890;890;966;1,616;7,481;157,241;24,699;17986;
LEGUEL61LESQU;LIT 225kV N0 1 LEGUEVIN-LESQUIVE;LEGUE;LESQU;225;813;890;890;966;2,266;10,729;226,621;35,598;24939;
LESCAL61MARSI;LIT 225KV N0 1 LESCAR - MARSILLON;LESCA;MARSI;225;1172;1248;1248;1310;1,083;7,281;247,831;38,929;18300;
LESQUL61VERLH;LIT 225kV N0 1 LESQUIVE-VERLHAGUET;LESQU;VERLH;225;828;908;908;986;2,045;9,143;217,741;34,203;24271;
LIGNAL61RULHA;LIT 225kV N0 1 LIGNAT-RULHAT;LIGNA;RULHA;225;1032;1146;1146;1241;0,633;4,196;91,369;14,352;10255;
LINGOL61T.VIC;LIT 225kV N0 1 LINGOSTIERE-TRINITE-VICTOR;LINGO;T.VIC;225;816;889;889;947;1,092;4,937;109,700;17,279;12188;
LIVIEL61SSVIN;LIT 225kV N0 1 LIVIERE - ST VINCENT;LIVIE;SSVIN;225;1234;1320;1320;1389;1,661;11,463;263,185;41,341;28524;
L.CHAL61S.DAM;LIT 225kV N0 1 LONG-CHAMP (LE) - SOISSONS-NOTRE-DAME;L.CHA;S.DAM;225;731;835;835;925;1,112;5,351;117,783;18,501;13165;
LOSCOL61MARTY;LIT 225kV N0 1 LOSCOAT-MARTYRE (LA);LOSCO;MARTY;225;1280;1332;1332;1382;1,705;11,348;261,392;41,059;29488;
LUMESL61MAZUR;LIT 225kV N0 1 LUMES-MAZURES;LUMES;MAZUR;225;843;909;909;996;1,937;9,449;211,150;33,167;23715;
LUMESL61MOHON;LIT 225kV N0 1 LUMES-MOHON;LUMES;MOHON;225;647;749;749;847;0,395;1,790;38,503;6,048;4700;
LUMESL61STENA;LIT 225kV N0 1 LUMES-STENAY;LUMES;STENA;225;1100;1187;1187;1302;2,551;17,609;407,938;64,079;44900;
LUTTEL61SIERE;LIT 225kV N0 1 LUTTERBACH-SIERENTZ;LUTTE;SIERE;225;847;985;985;1116;1,375;9,214;210,165;33,013;22900;
MALGOL61PASSY;LIT 225kV N0 1 MALGOVERT-PASSY;MALGO;PASSY;225;533;622;622;673;4,590;14,740;305,729;48,000;35004;
MALINL61SARR5;LIT 225KV N0 1 MALINTRAT - SARRE;MALIN;SARR5;225;;;;;0,204;1,618;2561,363;402,338;10717;
MALINL61RULHA;LIT 225kV N0 1 MALINTRAT-RULHAT;MALIN;RULHA;225;1034;1149;1149;1244;0,355;2,328;51,856;8,146;5747;
MAMBEL61SAONE;LIT 225kV N0 1 MAMBELIN - SAONE;MAMBE;SAONE;225;801;930;930;1053;2,786;17,707;412,179;64,745;44648;
MAMBEL61PALEN;LIT 225kV N0 1 MAMBELIN-PALENTE;MAMBE;PALEN;225;577;706;706;782;6,326;22,083;462,694;72,680;52934;
MAMBEL61PTARL;LIT 225kV N0 1 MAMBELIN-PONTARLIER;MAMBE;PTARL;225;412;449;449;449;9,519;35,036;774,911;121,723;86680;
MAMBEL61PUSY;LIT 225kV N0 1 MAMBELIN-PUSY;MAMBE;1PUSY;225;525;730;730;835;6,231;31,693;697,642;109,585;77914;
MANOIL61SSBAI;LIT 225kV N0 1 MANOIR (LE)-ST-PIERRE-DE-BAILLEUL;MANOI;SSBAI;225;757;946;946;1075;2,544;16,971;379,507;59,613;41848;
MARGEL61PRATC;LIT 225kV N0 1 MARGERIDE-PRATCLAUX;MARGE;PRATC;225;792;844;844;905;3,738;15,121;356,139;55,942;38458;
MARGEL61RUEYR;LIT 225kV N0 1 MARGERIDE-RUEYRES;MARGE;RUEYR;225;802;844;844;919;4,645;19,038;432,705;67,969;47388;
MARMAL61VARE5;LIT 225kV N0 1 MARMAGNE-VARENNES (-SUR-FOUZON);MARMA;VARE5;225;409;644;644;761;4,746;21,572;476,126;74,790;53196;
MARSIL61PRAGN;LIT 225kV N0 1 MARSILLON-PRAGNERES;MARSI;PRAGN;225;565;673;673;765;7,841;34,130;756,390;118,814;84292;
MARTYL61SQUIV;LIT 225kV N0 1 MARTYRE (LA)-SQUIVIDAN;MARTY;SQUIV;225;1056;1123;1123;1189;3,038;20,399;472,264;74,183;51302;
MASTAL61PERIZ;LIT 225kV N0 1 MASTAING-PERIZET (LE);MASTA;PERIZ;225;975;1030;1030;1110;2,219;10,244;226,917;35,644;24738;
MASTAL61P.SAM;LIT 225kV N0 1 MASTAING-PONT-SUR-SAMBRE;MASTA;P.SAM;225;975;976;1030;1104;3,865;17,913;421,040;66,137;44098;
MAUBEL61P.SAM;LIT 225kV N0 1 MAUBEUGE-PONT-SUR-SAMBRE;MAUBE;P.SAM;225;956;1010;1010;1088;0,588;2,808;62,855;9,873;6968;
MAUGEL61VERTO;LIT 225kV N0 1 MAUGES (LES)-VERTOU;MAUGE;VERTO;225;488;682;682;795;4,191;19,190;418,254;65,699;47048;
MAUREL61P.CHA;LIT 225kV N0 1 MAUREIX (LE)-PEYRAT-LE-CHATEAU;MAURE;P.CHA;225;725;800;800;865;2,673;14,733;311,556;48,939;35567;
MERLAL61RECOU;LIT 225kV N0 1 MERLATIERE - RECOUVRANCE;MERLA;RECOU;225;870;870;1180;1180;0,743;5,816;10449,986;1641,480;35439;
MERLAL61SOULL;LIT 225kV N0 1 MERLATIERE - SOULLANS;MERLA;SOULL;225;1249;1337;1337;1434;2,603;17,492;395,897;62,187;43410;
MEZE5L61PORCH;LIT 225kV N0 1 MEZEROLLES - PORCHEVILLE;MEZE5;PORCH;225;520;782;782;998;0,371;2,449;56,301;8,844;6148;
MIONSL61MOIRA;LIT 225kV N0 1 MIONS-MOIRANS;MIONS;MOIRA;225;579;672;672;755;5,950;27,530;606,966;92,000;67808;
MIONSL61MOUCH;LIT 225kV N0 1 MIONS-MOUCHE (LA);MIONS;MOUCH;225;1800;2030;2030;2224;0,420;4,240;179,376;26,000;13700;
MIONSL61P.EVE;LIT 225kV N0 1 MIONS-PONT-EVEQUE;MIONS;P.EVE;225;880;992;992;1086;1,220;8,320;172,457;27,000;18949;
MIONSL61SSV.E;LIT 225kV N0 1 MIONS-ST-VULBAS-EST;MIONS;SSV.E;225;297;442;442;545;3,840;14,240;291,403;45,000;33600;
MIONSL61VENIS;LIT 225kV N0 1 MIONS-VENISSIEUX;MIONS;VENIS;225;900;1015;1015;1112;0,330;3,010;159,383;17,000;9344;
M.MORL61SAUS5;LIT 225kV N0 1 MITRY-MORY (E.D.F.)-SAUSSET;M.MOR;SAUS5;225;731;835;835;930;0,397;1,989;44,663;7,016;4933;
M.MORL61VLEVA;LIT 225kV N0 1 MITRY-MORY (E.D.F.)-VILLEVAUDE;M.MOR;VLEVA;225;899;984;984;1061;0,727;3,391;75,548;11,867;8375;
MOIMOL61P.GAS;LIT 225kV N0 1 MOIMONT - PLESSIS-GASSOT;MOIMO;P.GAS;225;716;817;817;910;0,867;4,462;128,145;20,129;10848;
MOLE L61RUEYR;LIT 225kV N0 1 MOLE (LA)-RUEYRES;MOLE;RUEYR;225;622;748;748;834;7,221;34,122;706,313;110,947;81267;
MOLE L61SSFEY;LIT 225kV N0 1 MOLE (LA)-STE-FEYRE;MOLE;SSFEY;225;578;694;694;774;8,123;41,941;980,672;154,044;105922;
MTCROL61VENDI;LIT 225kV N0 1 MONTCROISETTE-VENDIN;MTCRO;VENDI;225;1273;1346;1346;1453;0,293;1,942;44,991;7,067;4880;
MTGROL61MTPEZ;LIT 225KV N0 1 MONTGROS - MONTPEZAT;MTGRO;MTPEZ;225;370;559;559;695;4,023;18,800;691,465;108,615;45680;
MTGROL61PRATC;LIT 225KV N0 1 MONTGROS - PRATCLAUX;MTGRO;PRATC;225;346;524;524;649;1,973;9,260;524,356;82,366;22994;
MTLUCL61MTVIC;LIT 225kV N0 1 MONTLUCON-MONTVICQ;MTLUC;MTVIC;225;555;692;692;790;1,752;7,035;154,337;24,243;17280;
MTOISL61SSHUB;LIT 225kV N0 1 MONTOIS-SAINT HUBERT;MTOIS;SSHUB;225;456;556;556;634;1,920;6,187;125,097;19,650;14580;
MTPELL61TAMAR;LIT 225kV N0 1 MONTPELLIER - TAMAREAU;MTPEL;TAMAR;225;1233;1320;1320;1389;1,217;8,128;186,513;29,297;20339;
MTPEZL61PRATC;LIT 225kV N0 1 MONTPEZAT-PRATCLAUX;MTPEZ;PRATC;225;346;524;524;649;5,976;26,796;592,563;93,080;66141;
MORBRL61V.GEO;LIT 225kV N0 1 MORBRAS-VILLENEUVE-ST-GEORGES;MORBR;V.GEO;225;886;886;984;1061;1,370;6,904;476,325;74,821;18381;
MOUGIL61P.GR5;LIT 225kV N0 1 MOUGINS-PLAN-DE-GRASSE;MOUGI;P.GR5;225;1000;1000;1160;1185;0,584;4,203;414,298;65,078;12987;
MOUL8L61VLEJU;LIT 225kV N0 1 MOULINEAUX - VILLEJUST;MOUL8;VLEJU;225;750;750;1030;1030;0,581;5,531;1074,570;168,793;21407;
MUREAL61NOURO;LIT 225kV N0 1 MUREAUX (LES) - NOUROTTES;MUREA;NOURO;225;1172;1172;1285;1388;0,687;4,587;140,823;22,120;11647;
NEMOUL61VLEMA;LIT 225kV N0 1 NEMOURS-VILLEMANDEUR;NEMOU;VLEMA;225;520;782;782;998;1,682;11,498;260,862;40,976;28561;
NEOULL61VINS;LIT 225kV N0 1 NEOULES-VINS;NEOUL;1VINS;225;1057;1057;1160;1224;1,669;11,088;292,225;45,903;27764;
NIORTL61V.SEV;LIT 225kV N0 1 NIORT - VAL-DE-SEVRE;NIORT;V.SEV;225;803;858;858;918;6,196;22,472;466,824;73,329;52463;
NOGENL61ORMES;LIT 225kV N0 1 NOGENTEL-ORMES;NOGEN;ORMES;225;1172;1285;1285;1375;3,502;23,311;538,177;84,537;57945;
O.CHAL61RUEYR;LIT 225kV N0 1 ONET-LE-CHATEAU-RUEYRES;O.CHA;RUEYR;225;902;1004;1004;1131;2,935;20,096;455,028;71,476;49985;
