ref;Circuit name;sub_1_short;sub_2_short;Voltage level (kV);I_max_Summer;I_max_Interseason_1;I_max_Interseason_2;I_max_Winter;Resistance R (Ω);Reactance X (Ω);Capacity (nF);Half-Susceptance Hd/2 (μS);Length (m);
MONDIL61ORANG;LIT 225kV N0 1 ORANGERIE (L) - MONDION;MONDI;ORANG;225;957;1023;1023;1096;1,277;5,906;131,562;20,666;14139;
PALENL61SAONE;LIT 225kV N0 1 PALENTE -SAONE;PALEN;SAONE;225;928;1001;1001;1096;0,565;3,201;72,671;11,415;7958;
PALUNL61SSTUL;LIT 225kV N0 1 PALUN (LA) - SAINTE-TULLE 1;PALUN;SSTUL;225;816;889;889;947;3,511;18,486;415,598;65,282;45834;
PALUNL61SEPTE;LIT 225kV N0 1 PALUN (LA)-SEPTEMES;PALUN;SEPTE;225;1375;1437;1437;1500;0,524;6,439;153,451;24,104;16137;
PASSYL61PRESS;LIT 225kV N0 1 PASSY-PRESSY;PASSY;PRESS;225;619;687;687;744;2,315;10,285;254,300;39,945;26303;
PATISL61REMIS;LIT 225kV N0 1 PATIS - REMISE;PATIS;REMIS;225;1035;1035;1235;1235;1,164;7,763;304,123;47,771;19879;
PATISL61TERRI;LIT 225kV N0 1 PATIS-TERRIER;PATIS;TERRI;225;910;910;1105;1105;1,426;9,744;300,570;47,213;25455;
PELISL61SSVIC;LIT 225kV N0 1 PELISSIER-ST-VICTOR;PELIS;SSVIC;225;1018;1117;1117;1213;3,910;22,500;518,700;81,000;55118;
PERIZL61SETIE;LIT 225kV N0 1 PERIZET (LE)-SETIER;PERIZ;SETIE;225;579;709;709;822;2,404;11,200;237,925;37,373;27058;
PERTAL61ROYE;LIT 225kV N0 1 PERTAIN-ROYE;PERTA;1ROYE;225;566;692;692;802;1,083;4,936;160,310;25,181;12168;
PESSAL61SAUCA;LIT 225kV N0 1 PESSAC-SAUCATS;PESSA;SAUCA;225;938;980;1055;1132;1,234;8,332;197,276;30,988;21293;
P.ROSL61SARR6;LIT 225kV N0 1 PETITE-ROSSELLE-SARREGUEMINES;P.ROS;SARR6;225;843;909;909;996;1,985;10,313;232,259;36,483;24575;
P.ROSL61SSAVO;LIT 225kV N0 1 PETITE-ROSSELLE-ST-AVOLD;P.ROS;SSAVO;225;715;715;840;840;1,424;6,322;200,082;31,429;15830;
P.BORL61PRATC;LIT 225kV N0 1 PIED-DE-BORNE - PRATCLAUX;P.BOR;PRATC;225;315;400;400;493;9,132;29,257;578,503;90,871;68823;
PRRTTL61VERTE;LIT 225kV N0 1 PIERRETTE (LA) - VERTEFEUILLE;PRRTT;VERTE;225;825;825;990;990;0,951;4,240;114,525;17,990;10423;
P.HA5L61ROSPE;LIT 225kV N0 1 PLAINE HAUTE-ROSPEZ;P.HA5;ROSPE;225;1375;1437;1437;1484;3,275;21,742;503,205;79,043;54579;
P.HA5L61TREGU;LIT 225kV N0 1 PLAINE HAUTE-TREGUEUX;P.HA5;TREGU;225;1212;1262;1262;1318;0,835;5,580;127,834;20,080;13973;
PLAISL61ROMAI;LIT 225kV N0 1 PLAISANCE-ROMAINVILLE;PLAIS;ROMAI;225;480;480;835;835;0,393;2,335;1094,318;171,895;7921;
P.ORGL61RQROU;LIT 225kV N0 1 PLAN-D ORGON - ROQUEROUSSE;P.ORG;RQROU;225;816;889;889;947;1,755;8,022;176,076;27,658;19640;
P.GASL61SAUS5;LIT 225kV N0 1 PLESSIS-GASSOT - SAUSSET;P.GAS;SAUS5;225;899;984;984;1061;1,154;5,691;127,395;20,011;14028;
P.GASL61SEINE;LIT 225kV N0 1 PLESSIS-GASSOT - SEINE;P.GAS;SEINE;225;888;950;972;1049;1,303;6,855;219,548;34,486;17062;
PTARLL61SAONE;LIT 225kV N0 1 PONTARLIER - SAONE;PTARL;SAONE;225;412;420;420;420;6,401;17,196;364,928;57,323;41663;
PONTEL61REALT;LIT 225kV N0 1 PONTEAU - REALTOR;PONTE;REALT;225;1062;1160;1160;1238;1,009;10,357;402,457;63,218;34309;
P.SEPL61SAINN;LIT 225kV N0 1 PONT-SEPT-SAINNEVILLE;P.SEP;SAINN;225;455;455;560;560;0,620;3,468;878,004;137,916;11365;
P.SEPL61SANDO;LIT 225kV N0 1 PONT-SEPT-SANDOUVILLE;P.SEP;SANDO;225;1308;1408;1408;1478;0,877;5,875;133,813;21,019;14613;
PORCHL61PUISE;LIT 225kV N0 1 PORCHEVILLE-PUISEUX;PORCH;PUISE;225;511;768;768;979;1,381;9,031;208,143;32,695;22686;
PORCHL61SSBAI;LIT 225kV N0 1 PORCHEVILLE-ST-PIERRE-DE-BAILLEUL;PORCH;SSBAI;225;1140;1248;1248;1347;2,910;19,420;433,267;68,057;48359;
P.SIML61RIVEN;LIT 225kV N0 1 PORTET-ST-SIMON - RIVENEUVE;P.SIM;RIVEN;225;813;890;890;966;4,996;22,853;479,045;75,248;54760;
P.SIML61SSORE;LIT 225kV N0 1 PORTET-ST-SIMON - ST-ORENS;P.SIM;SSORE;225;780;780;940;940;0,722;4,696;183,566;28,834;11937;
P.SIML61TARAS;LIT 225kV N0 1 PORTET-ST-SIMON -TARASCON;P.SIM;TARAS;225;430;550;550;630;7,159;32,600;712,821;111,970;79654;
P.JERL61SANDO;LIT 225kV N0 1 PORT-JEROME-SANDOUVILLE;P.JER;SANDO;225;1308;1408;1408;1478;1,336;8,951;204,159;32,069;22280;
P.JERL61VAUPA;LIT 225kV N0 1 PORT-JEROME-VAUPALIERE (LA);P.JER;VAUPA;225;618;745;745;819;3,640;16,840;441,076;61,000;41042;
P.ROUL61SQUIV;LIT 225kV N0 1 POTEAU-ROUGE - SQUIVIDAN;P.ROU;SQUIV;225;1280;1332;1332;1382;3,689;24,528;565,699;88,860;61476;
P.ROUL61THEIX;LIT 225kV N0 1 POTEAU-ROUGE - THEIX;P.ROU;THEIX;225;1212;1262;1262;1318;3,166;21,043;486,150;76,364;52773;
PRATCL61TREVA;LIT 225kV N0 1 PRATCLAUX - TREVAS;PRATC;TREVA;225;1059;1141;1141;1215;3,554;21,054;500,752;78,658;53845;
PRATCL61SANSS;LIT 225kV N0 1 PRATCLAUX-SANSSAC (L'EGLISE);PRATC;SANSS;225;639;717;717;860;1,338;6,033;131,644;20,679;14685;
P.ANDL61SAUS2;LIT 225kV N0 1 PRAZ-ST-ANDRE-SAUSSAZ II (LA);P.AND;SAUS2;225;966;1076;1076;1168;0,680;3,980;89,603;14,000;9854;
PREGUL61SAINT;LIT 225kV N0 1 PREGUILLAC - SAINTES;PREGU;SAINT;225;1180;1310;1310;1390;0,668;4,489;162,494;25,524;11329;
PRELEL61SEREI;LIT 225kV N0 1 PRELES (LES)-SEREIN;PRELE;SEREI;225;1100;1187;1187;1302;0,842;5,611;129,112;20,281;13940;
PUSY L61ROLAM;LIT 225kV N0 1 PUSY-ROLAMPONT;PUSY;ROLAM;225;827;891;891;976;6,717;30,544;655,180;102,916;74096;
PYMONL61VOUGL;LIT 225kV N0 1 PYMONT-VOUGLANS;PYMON;VOUGL;225;704;866;866;990;2,284;14,652;344,048;54,043;37473;
Q.SEIL61SAUMA;LIT 225KV N0 1 QUATRE SEIGNEURS - SAUMAD;Q.SEI;SAUMA;225;1100;1100;1300;1300;0,086;1,147;2230,800;350,413;7800;
Q.SEIL61TAMAR;LIT 225kV N0 1 QUATRE SEIGNEURS - TAMAREAU;Q.SEI;TAMAR;225;855;855;1040;1040;0,684;4,549;190,626;29,943;11660;
QUINTL61SSCAL;LIT 225kV N0 1 QUINTES (LES)-ST-CALAIS;QUINT;SSCAL;225;1249;1316;1316;1389;2,354;15,737;357,959;56,228;39236;
R.TORL61VLEJU;LIT 225kV N0 1 RAIE-TORTUE - VILLEJUST;R.TOR;VLEJU;225;1040;1285;1285;1388;0,478;4,652;200,655;31,519;15924;
RASSUL61RQROU;LIT 225kV N0 1 RASSUEN-ROQUEROUSSE;RASSU;RQROU;225;1062;1160;1160;1238;1,760;12,056;283,583;44,545;30192;
REALTL61SEPTE;LIT 225kV N0 1 REALTOR-SEPTEMES;REALT;SEPTE;225;1062;1160;1160;1238;0,413;2,766;63,053;9,904;6966;
RICHEL61SSHUB;LIT 225kV N0 1 RICHEMONT-SAINT HUBERT;RICHE;SSHUB;225;413;714;714;899;0,254;1,501;34,258;5,381;3770;
RIVENL61TARAS;LIT 225kV N0 1 RIVENEUVE-TARASCON;RIVEN;TARAS;225;716;807;807;887;3,286;14,921;315,716;49,593;35577;
RIVIEL61SANSS;LIT 225kV N0 1 RIVIERE (LA) - SANSSAC (L'EGLISE);RIVIE;SANSS;225;900;900;1100;1100;4,186;25,175;2476,869;389,066;69448;
RIVIEL61TREVA;LIT 225kV N0 1 RIVIERE (LA)-TREVAS;RIVIE;TREVA;225;639;717;717;783;2,465;11,382;235,438;36,983;27117;
ROGNAL61RQROU;LIT 225kV N0 1 ROGNAC-ROQUEROUSSE;ROGNA;RQROU;225;1062;1160;1160;1238;1,492;10,006;227,329;34,872;24566;
ROGNAL61SSCHA;LIT 225kV N0 1 ROGNAC-ST-CHAMAS;ROGNA;SSCHA;225;1062;1160;1160;1238;0,848;5,624;130,279;20,464;14043;
ROMAIL61VLEVA;LIT 225kV N0 1 ROMAINVILLE-VILLEVAUDE;ROMAI;VLEVA;225;480;480;782;835;1,394;7,184;1176,890;184,865;20202;
RQROUL61SSEST;LIT 225kV N0 1 ROQUEROUSSE-ST-ESTEVE;RQROU;SSEST;225;1034;1128;1128;1203;1,439;9,427;209,387;32,890;23308;
ROUGEL61YAINV;LIT 225kV N0 1 ROUGEMONTIER-YAINVILLE;ROUGE;YAINV;225;757;946;946;1075;1,618;10,872;243,916;38,314;26893;
ROUSSL61SEREI;LIT 225kV N0 1 ROUSSON-SEREIN;ROUSS;SEREI;225;435;595;595;680;3,821;17,297;381,742;59,964;42580;
RUEYRL61SAVIG;LIT 225kV N0 1 RUEYRES-SAVIGNAC;RUEYR;SAVIG;225;548;606;606;678;5,109;19,887;399,140;62,697;45790;
SACL5L61VLERA;LIT 225KV N0 1 SACLAY (PLATEAU) - VILLER;SACL5;VLERA;225;;;;;0,171;0,865;1025,703;161,117;5103;
SAINNL61YAINV;LIT 225kV N0 1 SAINNEVILLE-YAINVILLE;SAINN;YAINV;225;769;872;872;961;4,380;19,966;456,298;71,675;49270;
SANILL61TUILI;LIT 225kV N0 1 SANILHAC-TUILIERES;SANIL;TUILI;225;289;543;543;682;4,218;19,176;417,052;65,510;46667;
SAUS5L61VLEVA;LIT 225kV N0 1 SAUSSET-VILLEVAUDE;SAUS5;VLEVA;225;750;850;850;895;0,985;4,450;98,876;15,531;11001;
S.GUYL61ZFONC;LIT 225kV N0 1 SAUVETERRE-DE-GUYENNE - PIQUAGE A FONCROSE;S.GUY;ZFONC;225;85;85;85;85;0,041;0,125;114,859;18,042;700;
SEREIL61TONNE;LIT 225kV N0 1 SEREIN-TONNERRE;SEREI;TONNE;225;1100;1187;1187;1302;1,393;9,486;208,784;32,796;23150;
S.PONL61SISTE;LIT 225kV N0 1 SERRE-PONCON-SISTERON;S.PON;SISTE;225;862;928;928;987;3,508;16,913;380,908;59,833;42224;
SERRIL61SSV.E;LIT 225kV N0 1 SERRIERES-ST-VULBAS-EST;SERRI;SSV.E;225;204;397;397;493;6,685;21,696;425,839;66,891;50471;
SOLEIL61VOLVO;LIT 225kV N0 1 SOLEIL (LE)-VOLVON;SOLEI;VOLVO;225;1123;1211;1211;1290;0,897;5,987;137,226;21,555;14948;
SSCESL61SSCHR;LIT 225kV N0 1 ST CESAIRE - ST CHRISTOL;SSCES;SSCHR;225;597;676;676;724;3,420;11,744;229,221;36,006;27156;
SSAUBL61SSTUL;LIT 225kV N0 1 ST-AUBAN-STE-TULLE ;SSAUB;SSTUL;225;1123;1201;1201;1268;5,042;18,112;359,656;56,495;42091;
SSAU5L61VERSA;LIT 225kV N0 1 ST-AUBIN-VERSAILLES;SSAU5;VERSA;225;673;673;826;826;0,412;1,313;2021,064;317,468;10815;
SSAVOL61VIGY;LIT 225kV N0 1 ST-AVOLD-VIGY;SSAVO;1VIGY;225;1412;1412;1639;1639;0,723;9,937;473,742;74,415;32825;
SSELOL61VNOL;LIT 225kV N0 1 ST-ELOI - VIGNOL;SSELO;1VNOL;225;617;740;740;826;5,403;26,383;566,256;88,947;63891;
SSESTL61SSTUL;LIT 225kV N0 1 ST-ESTEVE-SAINTE-TULLE 1;SSEST;SSTUL;225;280;647;647;824;1,993;13,509;318,753;50,070;34371;
SSJULL61VIGY;LIT 225kV N0 1 ST-JULIEN-VIGY;SSJUL;1VIGY;225;1100;1187;1187;1302;0,433;2,901;66,124;10,387;7202;
SSOREL61VERFE;LIT 225kV N0 1 ST-ORENS-VERFEIL;SSORE;VERFE;225;1080;1185;1185;1289;1,057;7,079;161,471;25,364;17610;
TAVELL61VIRAD;LIT 225kV N0 1 TAVEL - VIRADEL;TAVEL;VIRAD;225;985;985;1129;1165;2,891;18,245;553,344;86,919;46486;
VAUPAL61YAINV;LIT 225kV N0 1 VAUPALIERE (LA)-YAINVILLE;VAUPA;YAINV;225;599;746;746;847;1,433;6,577;188,427;29,598;16018;
VERTEL61WEPPE;LIT 225kV N0 1 VERTEFEUILLE-WEPPES;VERTE;WEPPE;225;1273;1346;1346;1453;0,758;5,074;115,966;18,216;12642;
VINCEL61VITTE;LIT 225kV N0 1 VINCEY-VITTEL;VINCE;VITTE;225;881;964;964;1040;2,119;14,104;324,295;50,940;35257;
ALLINL62CORNI;LIT 225kV N0 2 ALLINGES-CORNIER;ALLIN;CORNI;225;966;1076;1076;1168;2,420;14,474;343,942;54,026;36992;
AQUEDL62CIROL;LIT 225kV N0 2 AQUEDUCS (LES)-CIROLLIERS;AQUED;CIROL;225;1172;1285;1285;1388;0,551;3,674;84,388;13,256;9206;
ARDOIL62TAVEL;LIT 225kV N0 2 ARDOISE (L )-TAVEL;ARDOI;TAVEL;225;1233;1320;1320;1389;0,649;4,346;99,257;15,591;10815;
ARGIAL62MOUGU;LIT 225kV N0 2 ARGIA (BAYONNE SUD)-MOUGUERRE;ARGIA;MOUGU;225;635;635;870;870;0,382;2,650;571,547;89,778;7966;
ARNAGL62QUINT;LIT 225kV N0 2 ARNAGE-QUINTES (LES);ARNAG;QUINT;225;1032;1124;1124;1212;0,328;2,216;52,246;8,207;5558;
ARRIGL62CHARE;LIT 225kV N0 2 ARRIGHI-CHARENTON;ARRIG;CHARE;225;220;220;340;340;0,139;0,473;1310,806;205,901;4473;
ARRIGL62MORBR;LIT 225kV N0 2 ARRIGHI-MORBRAS;ARRIG;MORBR;225;1980;2008;2250;2420;0,665;6,133;423,756;66,563;22198;
BALMAL62VERFE;LIT 225kV N0 2 BALMA (POSTE)-VERFEIL;BALMA;VERFE;225;1080;1185;1185;1289;0,944;6,329;144,256;22,660;15741;
B.MONL62GAMPA;LIT 225kV N0 2 BEAUMONT-MONTEUX-GAMPALOUP;B.MON;GAMPA;225;880;992;992;1086;2,170;14,700;331,537;52,000;36312;
BXTO5L62LATEN;LIT 225kV N0 2 BEAUTOR (POSTE)-LATENA;BXTO5;LATEN;225;1400;1500;1500;1550;0,950;9,241;399,141;62,697;31657;
BEC5 L62MQIS;LIT 225KV N0 2 BEC - MARQUIS (LE);BEC5;MQIS;225;;;;;0,267;1,165;126,265;19,834;4807;
BEZAUL62VANDI;LIT 225kV N0 2 BEZAUMONT-VANDIERES;BEZAU;VANDI;225;1172;1285;1285;1375;0,817;5,428;125,400;19,698;13741;
BEZ.EL62SSVIN;LIT 225KV N0 2 BEZIERS-EST - ST-VINCENT;BEZ.E;SSVIN;225;;;;;0,259;0,761;729,029;114,516;4443;
BOISSL62CUS.P;LIT 225kV N0 2 BOISSE (LA) - CUSSET-POSTE;BOISS;CUS.P;225;857;857;1024;1024;0,630;4,830;262,516;40,000;12768;
BOISSL62MIONS;LIT 225kV N0 2 BOISSE (LA) - MIONS;BOISS;MIONS;225;900;1015;1015;1112;1,160;8,010;265,136;39,000;20131;
BOLL5L62TRI.P;LIT 225kV N0 2 BOLLENE - TRICASTIN-POSTE (LE);BOLL5;TRI.P;225;1062;1160;1160;1238;0,344;2,304;52,401;8,231;5733;
BONN6L62VALDI;LIT 225kV N0 2 BONNEAU-VALDIVIENNE;BONN6;VALDI;225;1180;1310;1310;1390;1,653;10,436;269,252;42,294;27592;
B.CARL62LINGO;LIT 225kV N0 2 BROC-CARROS (LE) - LINGOSTIERE;B.CAR;LINGO;225;1062;1160;1160;1238;0,715;4,787;109,367;17,179;11928;
B.CARL62T.VIC;LIT 225kV N0 2 BROC-CARROS (LE) - TRINITE-VICTOR;B.CAR;T.VIC;225;1062;1081;1160;1207;0,812;5,544;128,413;20,171;13937;
CANTEL62NAOUT;LIT 225kV N0 2 CANTEGRIT-NAOUTOT;CANTE;NAOUT;225;845;925;925;1005;2,188;14,696;330,222;51,871;36790;
CARRIL62TERRI;LIT 225kV N0 2 CARRIERES-TERRIER;CARRI;TERRI;225;2200;2300;2300;2400;0,454;4,265;196,105;30,804;15648;
CAZARL62LANNE;LIT 225kV N0 2 CAZARIL-LANNEMEZAN;CAZAR;LANNE;225;1018;1117;1117;1213;0,776;4,670;108,209;16,997;11751;
CERNAL62VESLE;LIT 225kV N0 2 CERNAY-VESLE;CERNA;VESLE;225;1172;1285;1285;1388;1,051;7,006;161,172;25,317;17550;
CHAINL62DAMBR;LIT 225kV N0 2 CHAINGY - DAMBRON;CHAIN;DAMBR;225;888;983;983;1042;2,522;11,141;225,767;35,463;26253;
CHALOL62GROSN;LIT 225kV N0 2 CHALON-GROSNE;CHALO;GROSN;225;1400;1500;1500;1550;0,752;7,047;327,043;51,372;25070;
CPNIEL62EYBEN;LIT 225kV N0 2 CHAMPAGNIER - EYBENS;CPNIE;EYBEN;225;1014;1014;1178;1191;0,517;3,368;77,833;12,226;8569;
C.REGL62VIELM;LIT 225kV N0 2 CHAMPS-REGNAUD-VIELMOULIN;C.REG;VIELM;225;847;865;985;1060;2,005;13,363;336,523;52,861;33800;
CHAN6L62REVIG;LIT 225kV N0 2 CHANCENAY-REVIGNY;CHAN6;REVIG;225;1172;1285;1285;1375;0,977;6,515;149,893;23,545;16240;
C.GOML62E.BOT;LIT 225kV N0 2 CHATEAU-GOMBERT - ENCO-DE-BOTTE;C.GOM;E.BOT;225;438;438;438;438;0,337;1,122;1092,959;171,682;6355;
C.RHOL62L.NEU;LIT 225kV N0 2 CHATEAUNEUF-DU-RHONE-LOGIS-NEUF;C.RHO;L.NEU;225;862;928;928;987;2,742;12,439;293,511;46,105;30035;
CHESNL62CZTRY;LIT 225kV N0 2 CHESNOY (LE)-COURTRY;CHESN;CZTRY;225;920;920;1100;1100;1,181;7,961;285,225;44,803;20002;
CHOLEL62DISTR;LIT 225kV N0 2 CHOLET-DISTRE;CHOLE;DISTR;225;957;1023;1023;1096;7,299;36,334;812,439;127,618;89929;
CHOO5L62MAZUR;LIT 225kV N0 2 CHOOZ-MAZURES;CHOO5;MAZUR;225;843;909;909;996;0,759;9,395;351,923;55,280;29849;
CIROLL62LOGES;LIT 225kV N0 2 CIROLLIERS - LOGES (LES);CIROL;LOGES;225;880;880;1130;1130;0,377;2,555;221,677;34,821;7205;
CLEONL62G.COU;LIT 225kV N0 2 CLEON-GRAND-COURONNE;CLEON;G.COU;225;1308;1408;1408;1478;0,329;2,198;50,342;7,908;5473;
COQUAL62ROUGE;LIT 225kV N0 2 COQUAINVILLIERS-ROUGEMONTIER;COQUA;ROUGE;225;1308;1408;1408;1478;2,765;18,620;419,300;65,864;46234;
CORBIL62DISTR;LIT 225kV N0 2 CORBIERE (LA)-DISTRE;CORBI;DISTR;225;1249;1337;1337;1434;2,745;18,496;416,468;65,419;45808;
COR.PL62PTCHA;LIT 225kV N0 2 CORDEMAIS-POSTE-PONTCHATEAU;COR.P;PTCHA;225;1249;1337;1337;1432;1,421;9,618;226,939;35,648;24461;
CORNIL62GEN.P;LIT 225kV N0 2 CORNIER-GENISSIAT-POSTE;CORNI;GEN.P;225;396;660;660;830;2,437;15,786;363,530;57,103;39423;
COUDOL62NEOUL;LIT 225kV N0 2 COUDON (LE)-NEOULES;COUDO;NEOUL;225;1001;1093;1093;1165;1,096;6,601;152,605;23,971;16604;
CREC6L62WEPPE;LIT 225kV N0 2 CRECHETS (LES)-WEPPES;CREC6;WEPPE;225;810;810;945;945;0,872;5,815;182,319;28,639;14426;
DARSEL62FEUIL;LIT 225kV N0 2 DARSE-FEUILLANE;DARSE;FEUIL;225;1233;1320;1320;1389;0,725;4,838;140,510;22,071;13766;
DRONNL62TOURB;LIT 225kV N0 2 DRONNIERE (LA) - TOURBE;DRONN;TOURB;225;1308;1408;1408;1478;0,615;4,098;94,285;14,810;10550;
ECHALL62GIVOR;LIT 225kV N0 2 ECHALAS - GIVORS;ECHAL;GIVOR;225;900;910;1015;1080;0,420;2,890;140,056;22,000;7034;
E.BOTL62PALUN;LIT 225kV N0 2 ENCO-DE-BOTTE-PALUN (LA);E.BOT;PALUN;225;1001;1093;1093;1165;1,123;7,058;164,112;25,779;17816;
FALLOL62ZV.BE;LIT 225kV N0 2 FALLOU -PIQUAGE A VILLIERS-LE-BEL;FALLO;ZV.BE;225;930;930;1050;1050;0,934;6,191;263,955;41,462;16184;
FALLOL62NOVIO;LIT 225kV N0 2 FALLOU-NOVION;FALLO;NOVIO;225;935;935;1105;1105;0,106;0,916;1140,517;179,152;5478;
FEUILL62PONTE;LIT 225kV N0 2 FEUILLANE - PONTEAU;FEUIL;PONTE;225;835;835;913;913;0,555;5,856;227,309;35,706;19037;
FOUSCL62TAMAR;LIT 225kV N0 2 FOUSCAIS - TAMAREAU;FOUSC;TAMAR;225;1233;1320;1320;1389;1,495;9,985;228,591;35,907;24908;
FREJUL62TRANS;LIT 225kV N0 2 FREJUS-TRANS;FREJU;TRANS;225;1062;1066;1160;1238;1,397;9,218;305,184;47,938;22800;
GINESL62LESQU;LIT 225kV N0 2 GINESTOUS-LESQUIVE;GINES;LESQU;225;1080;1185;1185;1289;1,644;11,017;251,258;39,467;27386;
G.BANL62GIVOR;LIT 225kV N0 2 GIVORS-BANS-GIVORS;G.BAN;GIVOR;225;468;722;722;899;0,030;0,200;5,108;0,000;500;
GIVORL62MIONS;LIT 225kV N0 2 GIVORS-MIONS;GIVOR;MIONS;225;576;917;917;1260;0,668;6,620;240,312;37,748;20765;
GIVORL62SOLEI;LIT 225kV N0 2 GIVORS-SOLEIL (LE);GIVOR;SOLEI;225;639;717;717;783;2,802;13,691;395,942;62,194;34932;
G.COUL62ROUGE;LIT 225kV N0 2 GRAND-COURONNE-ROUGEMONTIER;G.COU;ROUGE;225;1308;1408;1408;1478;1,430;9,580;218,688;34,351;23822;
G.COUL62SSROU;LIT 225kV N0 2 GRAND-COURONNE-ST ETIENNE DU ROUVRAY;G.COU;SSROU;225;1308;1408;1408;1478;0,544;3,646;83,153;13,062;9071;
G.COUL62VAUPA;LIT 225kV N0 2 GRAND-COURONNE-VAUPALIERE (LA);G.COU;VAUPA;225;1308;1408;1408;1478;1,530;10,180;236,753;36,600;25444;
G.SYNL62WARAN;LIT 225kV N0 2 GRANDE-SYNTHE-WARANDE;G.SYN;RANDE;225;1250;1250;1250;1250;0,884;5,893;135,453;21,277;14713;
GRANZL62SSFLO;LIT 225kV N0 2 GRANZAY - ST-FLORENT;GRANZ;SSFLO;225;1012;1150;1150;1247;0,645;4,296;98,871;15,531;10767;
GRIM5L62TRANS;LIT 225KV N0 2 GRIMAUD - TRANS;GRIM5;TRANS;225;;;;;1,682;11,130;986,374;154,939;29772;
G.CAIL62VALEN;LIT 225kV N0 2 GROS-CAILLOU - VALENCIENNES;G.CAI;VALEN;225;915;915;1030;1075;1,618;8,259;241,119;37,875;20829;
G.CAIL62MASTA;LIT 225kV N0 2 GROS-CAILLOU-MASTAING;G.CAI;MASTA;225;1273;1346;1346;1453;0,259;1,720;39,833;6,257;4318;
HARC7L62R.TOR;LIT 225kV N0 2 HARCOURT (POSTE BLINDE)-RAIE-TORTUE;HARC7;R.TOR;225;660;660;900;900;0,218;0,842;2106,110;330,827;6253;
HAVR5L62P.SEP;LIT 225kV N0 2 HAVRE (LE) (POSTE) - PONT-SEPT;HAVR5;P.SEP;225;2200;2300;2300;2400;0,127;1,241;53,348;8,380;4244;
HOLQUL62LONG9;LIT 225kV N0 2 HOLQUE-LONGUENESSE;HOLQU;LONG9;225;1308;1408;1408;1478;0,779;5,192;119,427;18,760;12948;
JONQUL62SSCES;LIT 225kV N0 2 JONQUIERES-ST-CESAIRE;JONQU;SSCES;225;990;990;1165;1165;1,302;8,682;255,299;40,102;21840;
GAUDIL62MOREA;LIT 225kV N0 2 LA GAUDIERE - MOREAU;GAUDI;MOREA;225;1233;1320;1320;1389;1,460;9,683;224,323;35,237;24293;
LANDEL62MARTY;LIT 225kV N0 2 LANDERNEAU-MARTYRE (LA);LANDE;MARTY;225;1056;1123;1123;1189;0,249;1,483;35,002;5,498;3831;
LESCAL62MARSI;LIT 225kV N0 2 LESCAR-MARSILLON;LESCA;MARSI;225;1172;1248;1248;1310;1,085;7,269;165,720;26,031;18078;
LESQUL62VERLH;LIT 225kV N0 2 LESQUIVE-VERLHAGUET;LESQU;VERLH;225;813;890;890;966;2,266;10,706;226,490;35,577;25755;
LUMESL62MAZUR;LIT 225kV N0 2 LUMES-MAZURES;LUMES;MAZUR;225;843;909;909;996;1,832;8,917;198,640;31,202;22765;
LUTTEL62SIERE;LIT 225kV N0 2 LUTTERBACH-SIERENTZ;LUTTE;SIERE;225;847;985;985;1116;1,375;9,208;210,171;33,014;22900;
MALINL62RULHA;LIT 225kV N0 2 MALINTRAT-RULHAT;MALIN;RULHA;225;1034;1149;1149;1244;0,357;2,344;52,237;8,205;5787;
MAMBEL62PALEN;LIT 225kV N0 2 MAMBELIN-PALENTE;MAMBE;PALEN;225;577;706;706;807;3,632;21,629;470,355;73,883;52770;
MERLAL62SOULL;LIT 225kV N0 2 MERLATIERE - SOULLANS;MERLA;SOULL;225;1249;1337;1337;1434;2,600;17,383;398,247;62,557;43412;
MEZE5L62PORCH;LIT 225kV N0 2 MEZEROLLES - PORCHEVILLE;MEZE5;PORCH;225;520;782;782;998;0,371;2,447;56,334;8,849;6134;
MIONSL62VENIS;LIT 225kV N0 2 MIONS - VENISSIEUX;MIONS;VENIS;225;1050;1050;1270;1270;0,320;2,830;341,228;47,000;9493;
MIONSL62MOUCH;LIT 225kV N0 2 MIONS-MOUCHE (LA);MIONS;MOUCH;225;1800;1940;2030;2224;0,440;4,310;293,221;27,000;13921;
MOLE L62RUEYR;LIT 225kV N0 2 MOLE (LA)-RUEYRES;MOLE;RUEYR;225;622;748;748;834;6,805;32,206;666,385;104,676;77606;
MTGROL62PRATC;LIT 225KV N0 2 MONTGROS - PRATCLAUX;MTGRO;PRATC;225;;;;;3,186;9,413;406,821;63,903;22582;
MTPELL62TAMAR;LIT 225kV N0 2 MONTPELLIER - TAMAREAU;MTPEL;TAMAR;225;1161;1241;1241;1306;1,309;8,029;188,617;29,628;20170;
MOUL8L62VLEJU;LIT 225kV N0 2 MOULINEAUX-VILLEJUST;MOUL8;VLEJU;225;750;750;1030;1030;0,567;5,322;1079,904;169,631;20703;
PALUNL62SEPTE;LIT 225kV N0 2 PALUN (LA)-SEPTEMES;PALUN;SEPTE;225;1062;1160;1160;1238;0,911;6,115;139,176;21,862;15600;
PESSAL62SAUCA;LIT 225kV N0 2 PESSAC-SAUCATS;PESSA;SAUCA;225;932;1049;1049;1126;1,235;8,334;201,575;31,663;21233;
P.HA5L62TREGU;LIT 225kV N0 2 PLAINE HAUTE-TREGUEUX;P.HA5;TREGU;225;1280;1332;1332;1382;0,837;5,591;128,092;20,121;13946;
