,Code,Nom,S3REnR,Taux d'affection des capacités réservées,X,Y,Puissance des projets en service du S3REnR en cours,Puissance des projets en développement du S3REnR en cours,Capacité d'accueil réservée au titre du S3REnR qui resteàaffecter,Puissance EnR déjé raccordée,Puissance des projets EnR en développement,Capacité réservée aux EnR au titre du S3REnR,Attention: la valeur de la capacité réservée a été modifiée sur ce poste,Quote-Part unitaire actualisée,Attention : Le S3REnR de la région est saturé,dont la convention de raccordement est signée,"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ","Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",RTE - Capacité d'accueil en HTB2,RTE - Capacité d'accueil en HTB1,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source",Puissance cumulée des transformateurs existants,Nombre de transformateurs supplémentaires possible,Nombre de transformateurs existants,Consommation minimale,Tension aval,Tension amont,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",Puissance en file d'attente,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source.1",Puissance cumulée des transformateurs existants.1,Nombre de transformateurs supplémentaires possible.1,Nombre de transformateurs existants.1,Consommation minimale.1,Tension aval.1,Tension amont.1,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible.1",Puissance en file d'attente.1,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR.1,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution.1,"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible","Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB",GRDHTB - Capacité d'accueil en HTB2,GRDHTB - Capacité d'accueil en HTB1,ratio_congestion_soutirage,RAM_soutirage,projet_injection,ratio_congestion_injection,RAM_injection,min_RAM
203,B.BAS,BAS-EN-BASSET,AUVERGNE-RHONE-ALPES,41%,789379.0,6467721.5,0.6,1.0,13.6,3.5,1.3,15.2,Trsfrt -2 MW le 11/07/24,41.11 k€/MW,,0.0,14.1,Sans Objet,0.0, <= 0.0MW,13.6,40.0,,2.0,6.9,21.0,63.0,,1.3,15.5,42.1,,,,,,,,,,,,,,,,86,5.6000000000000005,20.3,48,21.892000000000003,5.6000000000000005
205,B.CAR,BROC-CARROS(LE),PROVENCE-ALPES-COTE-D'AZUR,17%,1037225.8,6309375.5,0.1,0.0,40.9,1.7,0.0,41.0,_,76.07 k€/MW,,0.0,40.6,,0.0,,40.9,40.0,,1.0,6.3,21.0,227.0,,0.0,41.0,44.6,,,,,,,,,,,,,,,,78,8.799999999999999,42.7,95,2.230000000000002,2.230000000000002
206,B.CEZ,BAGNOLS-SUR-CEZE,OCCITANIE,35%,831661.0,6345977.5,0.3,16.3,25.4,10.2,16.8,42.0,_,81.6 k€/MW,,0.0,36.4,,, <= 0.0MW,25.4,92.0,,3.0,8.7,20.0,63.0,,16.8,42.5,73.8,,,,,,,,,,,,,,,,47,48.760000000000005,69.5,94,4.4280000000000035,4.4280000000000035
207,B.CHA,BUTTES-CHAUMONT,ILE DE FRANCE,70%,654248.06,6864110.5,0.0,0.0,0.3,0.1,0.0,0.3,,1.83 k€/MW,,0.0,0.2,,0.0, <= 0.0MW,0.3,450.0,,10.0,16.0,20.0,236.0,,0.0,0.3,465.9,,,,,,,,,,,,,,,,17,373.5,0.4,0,465.9,373.5
208,B.DAM,BAUME-LES-DAMES,BOURGOGNE-FRANCHE-COMTé,61%,953225.3,6699392.5,3.3,11.7,0.9,9.8,11.8,15.9,Transfert de capacité(s) : Notifié le 06/12/2024 de +5.9 MW,72.71 k€/MW,,0.0,0.0,,0.0, de 0.0MW é 15.0MW,0.0,72.0,,2.0,5.3,21.0,63.0, ,11.8,15.1,55.8,,,,,,,,,,,,,,,,36,46.08,36.7,65,19.529999999999998,19.529999999999998
209,B.DUC,BAR-LE-DUC,GRAND-EST,78%,860171.44,6854445.0,0.9,23.5,17.6,2.7,34.8,42.0,18/11/2024 : +18 MW,81.82 k€/MW,Non,0.0,0.6,Schéma GE: raccordement d'un transformateur 63/20 kV - 36 MVA,0.0, de 0.0MW é 15.0MW,0.0,72.0,,2.0,4.9,21.0,62.0,Ajout d'un transformateur de 24 MVA,34.8,35.8,39.4,,,,,,,,,,,,,,,,34,47.519999999999996,73.3,100,0.0,0.0
210,B.DUR,BOIS-DURAND,NOUVELLE-AQUITAINE,77%,463482.12,6503631.5,1.7,12.3,1.2,6.6,12.8,15.2,02/03/2022 : +5 MW depuis CHAMPNIERS | 10/08/2023 : +1 MW depuis BARBEZIEUX | 25/01/2024 : +2 MW depuis BARBEZIEUX,89.94 k€/MW,,0.0,0.0,,, <= 0.0MW,0.2,60.0,,3.0,4.2,15.0,89.0,,12.8,15.7,44.8,,,,,,,,,,,,,,,,35,39.0,35.099999999999994,78,9.855999999999998,9.855999999999998
212,B.ETO,BELLE-ETOILE,AUVERGNE-RHONE-ALPES,41%,843656.6,6511962.0,0.9,1.8,4.9,3.5,1.8,7.6,--,41.11 k€/MW,,0.0,6.6,Sans Objet,0.0, > 15.0MW,5.0,102.0,,3.0,11.4,21.0,63.0,,1.8,7.6,108.2,,,,,,,,,,,,,,,,55,45.9,12.899999999999999,11,96.298,45.9
213,B.GES,BOULOGNE SUR GESSE,OCCITANIE,35%,510422.28,6246464.5,1.8,13.5,8.7,17.6,15.7,24.0,10/24 : trf +4MW adaptation,81.6 k€/MW,-,0.0,0.0,état initial: augmentation capacité de transit Berat-Portet 63 kV et Travaux Vallée de la Garonne Nord issus de l'adaptation,0.0, <= 0.0MW,4.7,20.0,,1.0,2.6,21.0,63.0,Ajout d'un transformateur de 36 MVA + Mutation d'un transformateur de 20 en 36 MVA,15.7,26.2,0.0,,,,,,,,,,,,,,,,65,7.0,59.5,100,0.0,0.0
214,B.GUI,BOIS-GUILLAUME,HAUTE-NORMANDIE,97%,564543.7,6931267.5,0.4,0.2,2.4,1.5,0.2,3.0,,12.40 k€/MW,,0.0,2.8,,0.0, > 15.0MW,2.4,132.0,,4.0,10.7,15.0,90.0,,1.4,4.2,139.7,,,,,,,,,,,,,,,,40,79.2,5.9,4,134.112,79.2
215,B.HAM,BASSE-HAM,GRAND-EST,78%,934458.1,6923719.5,0.2,0.9,0.5,1.9,0.9,1.6,28/12/2023 : -10 MW.. 18/11/2024 : -15.45 MW,81.82 k€/MW,Non,0.0,16.6,.,0.0, > 15.0MW,25.9,72.0,,2.0,5.6,21.0,62.0,,2.2,28.2,73.6,,,,,,,,,,,,,,,,38,44.64,31.0,42,42.688,42.688
216,B.LOM,BEAUMONT-DE-LOMAGNE,OCCITANIE,35%,538890.06,6312474.0,0.4,13.5,0.1,15.0,15.1,14.0,7/2024: +4MW de FINHAN,81.6 k€/MW,,0.0,0.0,-,0.0, <= 0.0MW,0.0,40.0,,2.0,3.9,21.0,63.0,,15.1,15.6,13.8,,,,,,,,,,,,,,,,48,20.8,45.7,100,0.0,0.0
217,B.MAI,BELLE-DE-MAI,PROVENCE-ALPES-COTE-D'AZUR,17%,893901.5,6248662.0,0.2,0.8,21.0,1.7,0.8,22.0,_,76.07 k€/MW,,0.0,21.8,,0.0,,21.1,210.0,,3.0,20.2,20.0,227.0,,0.8,22.0,227.7,,,,,,,,,,,,,,,,48,109.2,24.5,10,204.93,109.2
218,B.MAN,BOINVILLE EN MANTOIS,ILE DE FRANCE,70%,607724.0,6870853.0,0.0,0.0,1.2,0.0,0.0,1.2,,1.83 k€/MW,,0.0,1.2,Création du poste source de Boinville en Mantois,0.0, <= 0.0MW,1.5,140.0,,2.0,2.8,20.0,225.0,Création d'un poste source 225/20 kV,,1.5,0.0,,,,,,,,,,,,,,,,10,126.0,1.5,100,0.0,0.0
223,B.RON,BUISSON-ROND,AUVERGNE-RHONE-ALPES,41%,929492.25,6500392.5,1.0,0.5,13.2,5.3,1.8,14.7,--,41.11 k€/MW,,0.0,14.5,Sans Objet,0.0, > 15.0MW,13.3,102.0,,3.0,12.9,21.0,63.0,,1.8,16.0,107.8,,,,,,,,,,,,,,,,63,37.74,23.1,21,85.162,37.74
224,B.THI,BOURG-DE-THIZY,AUVERGNE-RHONE-ALPES,41%,799628.44,6549247.5,0.3,1.4,2.3,2.0,1.4,4.0,--,41.11 k€/MW,,0.0,4.0,Sans Objet,0.0, de 0.0MW é 15.0MW,2.3,36.0,,1.0,2.6,16.0,63.0,,2.7,5.2,33.9,,,,,,,,,,,,,,,,36,23.04,8.6,25,25.424999999999997,23.04
225,B.THO,BARRE-THOMAS (LA),BRETAGNE,96%,348500.84,6789430.0,0.4,0.0,0.6,0.5,0.4,1.0,Transfert +1 MW 17/01/24,19.94 k€/MW,,0.0,,,,,0.6,72.0,,2.0,5.0,20.0,90.0,,0.4,1.4,76.1,,,,,,,,,,,,,,,,34,47.519999999999996,2.3,3,73.817,47.519999999999996
227,BABLO,LES BABLONS,GRAND-EST,78%,767762.44,6824922.5,0.4,10.8,0.1,1.7,10.8,11.3,18/11/2024 : +9.82 MW,81.82 k€/MW,Non,0.0,0.9,.,0.0, <= 0.0MW,0.8,108.0,,3.0,2.2,21.0,90.0,Création d'un transformateur 90/20 kV de 36 MVA,10.8,12.0,97.6,,,,,,,,,,,,,,,,10,97.2,24.5,25,73.19999999999999,73.19999999999999
228,BACAL,BACALAN,NOUVELLE-AQUITAINE,77%,420111.38,6426595.5,22.9,4.3,0.0,2.1,4.3,25.4,06/08/2024 : -2 MW vers VILLENEUVE-DE-BLAYE | 15/10/2024 : +2 MW depuis MARGAUX,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.3,86.0,,3.0,9.3,16.0,63.0, ,4.3,29.4,88.9,,,,,,,,,,,,,,,,54,39.559999999999995,35.8,40,53.34,39.559999999999995
229,BACCH,BACCHUS,BASSE-NORMANDIE,83%,356875.0,6960786.0,0.3,17.8,3.1,1.9,17.9,21.2,,11.94 k€/MW,,0.0,3.4,,0.0, > 15.0MW,32.9,56.0,,2.0,6.0,21.0,89.0,Mutation d'un transformateur de 20 en 36 MVA,17.9,51.2,42.2,,,,,,,,,,,,,,,,53,26.32,71.0,100,0.0,0.0
230,BAGAT,BAGATELLE,OCCITANIE,35%,616015.44,6246176.5,1.0,46.3,1.7,11.0,127.7,49.0,_,81.6 k€/MW,-,0.0,0.0,Renouvellement liaison Bordiéres-portet et Travaux zone Issel-Bagatelle issus de l'adaptation,, <= 0.0MW,1.7,72.0,,2.0,7.7,21.0,63.0,Ajout d'un transformateur de 36 MVA,47.7,50.4,21.0,,,,,,,,,,,,,,,,53,33.839999999999996,189.1,100,0.0,0.0
232,BAILL,BAILLEUL,HAUTS-DE-FRANCE,54%,680443.44,7071281.0,1.0,2.3,1.7,6.5,2.5,5.0,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,1.7,72.0,,2.0,6.9,21.0,89.0,,2.5,5.2,69.9,,,,,,,,,,,,,,,,47,38.160000000000004,14.2,20,55.92000000000001,38.160000000000004
234,BAJAT,BAJATIERE,AUVERGNE-RHONE-ALPES,41%,915644.7,6456251.5,0.3,1.4,3.4,1.5,1.5,5.1,--,41.11 k€/MW,,0.0,4.9,Sans Objet,0.0, <= 0.0MW,3.4,72.0,,2.0,5.5,21.0,63.0,,1.5,5.3,74.4,,,,,,,,,,,,,,,,38,44.64,8.3,11,66.21600000000001,44.64
236,BALAR,BALARUC,OCCITANIE,35%,757253.5,6260940.5,0.6,2.1,22.3,7.8,2.3,25.0,_,81.6 k€/MW,,0.0,19.3,,0.0, <= 0.0MW,22.3,102.0,,3.0,11.1,20.0,63.0,,2.3,25.2,103.1,,,,,,,,,,,,,,,,54,46.919999999999995,35.3,34,68.04599999999999,46.919999999999995
237,BALDI,BALDI,OCCITANIE,35%,741132.2,6245646.5,0.9,0.7,6.4,5.1,0.7,8.0,_,81.6 k€/MW,,0.0,4.5,,, <= 0.0MW,6.4,72.0,,2.0,7.7,20.0,63.0,,0.7,8.0,73.9,,,,,,,,,,,,,,,,53,33.839999999999996,13.8,18,60.598000000000006,33.839999999999996
238,BALLO,BALLON,HAUTS-DE-FRANCE,54%,705606.7,7061004.5,0.0,0.1,1.9,0.0,0.2,2.0,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,1.9,168.0,,5.0,13.3,10.0,90.0,,0.2,2.1,180.8,,,,,,,,,,,,,,,,39,102.48,2.3000000000000003,1,178.99200000000002,102.48
239,BALMA,BALMA,OCCITANIE,35%,578410.8,6280862.0,0.4,2.8,11.8,8.2,3.0,15.0,09/2023: -10MW vers VERFEIL,81.6 k€/MW,,0.0,22.1,-,0.0, de 0.0MW é 15.0MW,21.8,144.0,,4.0,14.3,21.0,63.0,,3.0,15.2,147.1,,,,,,,,,,,,,,,,49,73.44,26.4,17,122.09299999999999,73.44
240,BANCA,BANCAIRON,PROVENCE-ALPES-COTE-D'AZUR,17%,1031662.75,6331406.0,0.0,0.0,10.0,0.0,0.0,10.0,_,76.07 k€/MW,,0.0,10.0,,0.0, <= 0.0MW,10.0,30.0,,2.0,2.2,21.0,63.0,,0.0,10.0,32.0,,,,,,,,,,,,,,,,36,19.2,10.0,31,22.08,19.2
241,BANNA,BANNALEC,BRETAGNE,96%,202098.19,6779269.0,0.4,0.5,0.1,0.8,0.7,1.0,Transfert -7 MW 15/05/22,19.94 k€/MW,,0.0,0.8,,, > 15.0MW,0.2,20.0,,1.0,1.9,21.0,62.0,,0.7,1.3,20.4,,,,,,,,,,,,,,,,47,10.600000000000001,2.8,13,17.747999999999998,10.600000000000001
242,BARAG,BARRAGARY,NOUVELLE-AQUITAINE,77%,385636.03,6244972.5,4.7,7.0,1.6,12.5,7.3,13.3,.,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,1.5,40.0,,2.0,3.9,21.0,63.0,,7.3,11.5,24.1,,,,,,,,,,,,,,,,48,20.8,31.3,100,0.0,0.0
244,BARAQ,BARAQUEVILLE,OCCITANIE,35%,653708.0,6352373.0,2.1,13.8,0.1,21.1,16.5,16.0,9/2024 : +1MW de PRE-GRAND,81.6 k€/MW,,0.0,0.0,Travaux de réhabilitation de la ligne 63 kV PRE-GRAND - PELISSIER 2 (renforcement),0.0, <= 0.0MW,0.0,40.0,,2.0,3.5,21.0,63.0,Mutation d'un transformateur de 10 en 36 MVA,16.5,18.7,5.9,,,,,,,,,,,,,,,,43,22.800000000000004,56.3,100,0.0,0.0
245,BARBE,BARBEZIEUX,NOUVELLE-AQUITAINE,77%,453748.06,6489374.5,4.4,6.7,5.6,10.6,26.9,16.7,14/05/2024 : -5 MW vers COURTILLERE (LA) | 25/06/2024 : -9 MW vers BESSANGES,89.94 k€/MW,,0.0,0.0,Création self série de MONTGUYON 90 kV départ JONZAC,, <= 0.0MW,19.7,72.0,,2.0,5.8,16.0,90.0,Ajout d'un transformateur de 36 MVA,26.9,41.9,40.3,,,,,,,,,,,,,,,,40,43.199999999999996,79.4,100,0.0,0.0
246,BARBO,BARBOTAN,OCCITANIE,35%,456718.5,6322679.5,0.2,8.5,1.8,7.3,8.8,10.5,11/24 :+3.5MW de RISCLE,81.6 k€/MW,,0.0,0.0,-,0.0, <= 0.0MW,1.8,72.0,,2.0,2.9,21.0,63.0,,8.8,10.7,58.8,,,,,,,,,,,,,,,,20,57.6,26.8,45,32.34,32.34
247,BARBU,BARBUISE,GRAND-EST,78%,743678.94,6829119.5,2.1,1.7,2.4,2.8,1.7,6.2,18/11/2024 : -33.76 MW,81.82 k€/MW,Non,0.0,37.8,.,0.0, <= 0.0MW,0.0,312.0,,4.0,2.3,21.0,225.0,Mutation d'un transformateur de 40 en 80 MVA,1.7,40.0,309.8,,,,,,,,,,,,,,,,3,302.64,44.5,14,266.428,266.428
248,BARCE,BARCELONNETTE,PROVENCE-ALPES-COTE-D'AZUR,17%,988960.1,6371136.0,0.2,4.7,33.1,3.0,4.8,38.0,_,76.07 k€/MW,,0.0,0.0,travaux poste de Champagnier,, <= 0.0MW,33.2,40.0,,2.0,4.8,20.0,63.0,,4.8,38.2,37.0,,,,,,,,,,,,,,,,60,16.0,46.0,100,0.0,0.0
249,BARET,BARETTES,HAUTE-NORMANDIE,97%,535736.1,6973752.0,0.4,0.2,1.4,1.0,0.2,2.0,,12.40 k€/MW,,0.0,4.8,,0.0, > 15.0MW,4.4,72.0,,2.0,6.0,21.0,89.0,,0.2,5.0,76.8,,,,,,,,,,,,,,,,41,42.480000000000004,6.2,8,70.656,42.480000000000004
250,BARJA,BARJAC,OCCITANIE,35%,807181.3,6358220.5,0.3,1.1,1.6,8.0,1.5,3.0,_,81.6 k€/MW,,0.0,0.3,,0.0,,1.6,40.0,,1.0,4.2,20.0,225.0,,1.5,3.4,34.7,,,,,,,,,,,,,,,,52,19.2,12.9,37,21.861,19.2
251,BARJO,BARJOLS,PROVENCE-ALPES-COTE-D'AZUR,17%,943251.4,6276868.0,0.2,0.1,19.7,3.2,0.1,20.0,_,76.07 k€/MW,,0.0,19.9,,, <= 0.0MW,19.7,72.0,,2.0,2.6,21.0,63.0,,0.1,20.0,71.2,,,,,,,,,,,,,,,,18,59.040000000000006,23.3,32,48.416,48.416
252,BARLI,BARLIN,HAUTS-DE-FRANCE,54%,672340.94,7038459.0,0.2,1.0,3.9,2.5,3.2,5.1,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,3.9,112.0,,4.0,11.3,15.0,89.0,,3.2,7.3,117.6,,,,,,,,,,,,,,,,50,56.0,13.0,11,104.664,56.0
255,BARR6,BARROIR,HAUTS-DE-FRANCE,54%,662567.6,6907878.0,0.2,32.8,1.2,0.6,32.8,34.2,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,0.0,92.0,,3.0,8.4,15.0,63.0,,32.8,34.2,67.0,,,,,,,,,,,,,,,,45,50.6,67.6,100,0.0,0.0
256,BASCA,BASCAT,NOUVELLE-AQUITAINE,77%,372254.16,6298324.5,0.0,0.3,1.7,0.0,0.3,2.0,,89.94 k€/MW,,0.0,0.0,,,,1.6,36.0,,1.0,0.0,20.0,63.0,,0.3,2.0,36.0,,,,,,,,,,,,,,,,0,36.0,2.3,6,33.839999999999996,33.839999999999996
257,BASS6,BASSIGNY,GRAND-EST,78%,874972.0,6773654.5,0.2,29.4,0.0,0.9,29.4,29.4,28/12/2023 : -6.9 MW.. 18/11/2024 : +0.31 MW,81.82 k€/MW,Non,0.0,0.1,Schéma GE: raccordement d'un transformateur 63/20 kV - 36 MVA,0.0, <= 0.0MW,0.0,108.0,,3.0,4.7,21.0,63.0,Ajout d'un transformateur de 36 MVA,29.4,36.0,82.5,,,,,,,,,,,,,,,,21,85.32000000000001,66.3,80,16.499999999999996,16.499999999999996
258,BASSE,BASSENS,NOUVELLE-AQUITAINE,77%,420825.1,6430352.5,0.4,1.0,0.5,2.2,1.0,1.9,.,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.6,87.0,,3.0,8.8,16.0,63.0,,1.0,1.9,92.7,,,,,,,,,,,,,,,,50,43.5,5.1,5,88.065,43.5
259,BAST5,LA BASTIDONNE,PROVENCE-ALPES-COTE-D'AZUR,17%,905387.8,6246171.5,0.3,1.1,13.6,3.3,1.3,15.0,_,76.07 k€/MW,,0.0,14.5,,, <= 0.0MW,13.6,72.0,,2.0,6.8,15.0,63.0,,1.3,15.2,74.3,,,,,,,,,,,,,,,,47,38.160000000000004,19.799999999999997,26,54.982,38.160000000000004
260,BASTI,BASTILLAC,OCCITANIE,35%,459415.78,6240800.5,1.4,7.0,47.6,7.5,7.6,56.0,-,81.6 k€/MW,,0.0,10.0,Travaux de mutation du TR 225/63 kV de BASTILLAC (renforcement),0.0, <= 0.0MW,1.7,72.0,,2.0,9.7,20.0,63.0,Ajout d'un transformateur de 36 MVA,7.6,56.6,66.6,,,,,,,,,,,,,,,,67,23.759999999999998,71.7,100,0.0,0.0
262,BATIG,BATIGNOLLES,ILE DE FRANCE,70%,650289.9,6865066.0,0.3,0.0,1.3,0.8,0.0,1.6,,1.83 k€/MW,,0.0,1.6,,0.0, <= 0.0MW,1.3,436.0,,10.0,14.7,20.0,225.0,,0.0,1.6,450.0,,,,,,,,,,,,,,,,16,366.24,2.4000000000000004,0,450.0,366.24
265,BAUD ,BAUD,BRETAGNE,96%,249154.42,6770312.0,6.4,2.9,0.0,11.2,4.0,6.0,,19.94 k€/MW,,0.0,0.0,,, > 15.0MW,1.4,40.0,,2.0,5.8,21.0,63.0,,5.3,13.1,30.7,,,,,,,,,,,,,,,,72,11.200000000000001,28.299999999999997,92,2.4559999999999986,2.4559999999999986
266,BAUDR,BAUDRY,ILE DE FRANCE,70%,649135.9,6863821.0,0.0,0.0,0.3,0.0,0.0,0.3,,1.83 k€/MW,,0.0,0.3,,0.0, <= 0.0MW,0.3,396.0,,9.0,6.8,20.0,236.0,,,0.3,0.0,,,,,,,,,,,,,,,,8,364.32,0.3,100,0.0,0.0
267,BAUGE,BAUGE,PAYS-DE-LA-LOIRE,24%,466793.12,6719141.5,0.8,5.5,67.7,11.1,8.7,74.0,!,45.09 k€/MW,,0.0,74.0,,, > 15.0MW,12.5,56.0,,2.0,5.3,21.0,89.0,Mutation d'un transformateur de 20 en 36 MVA,8.7,77.2,41.5,,,,,,,,,,,,,,,,47,29.68,97.0,100,0.0,0.0
268,BAULE,LA BAULE,PAYS-DE-LA-LOIRE,24%,293109.88,6701551.0,0.5,0.6,25.9,2.6,7.4,27.0,!,45.09 k€/MW,,0.0,27.0,,, > 15.0MW,25.9,108.0,,3.0,11.4,21.0,62.0,,7.4,33.8,109.4,,,,,,,,,,,,,,,,52,51.839999999999996,43.8,40,65.64,51.839999999999996
269,BAUMO,Baumont,BOURGOGNE-FRANCHE-COMTé,61%,940703.9,6646141.0,0.2,0.7,25.9,2.7,27.7,26.8,Transfert de capacité notifié le 19/07/2024 de 17.8 MW,72.71 k€/MW,,0.0,0.0,,0.0, <= 0.0MW,8.1,20.0,,1.0,2.4,21.0,63.0,,27.7,36.1,0.0,,,,,,,,,,,,,,,,60,8.0,66.5,100,0.0,0.0
270,BAYAR,BAYARD,GRAND-EST,78%,852798.06,6829211.5,0.0,0.6,1.9,0.4,0.6,2.5,Non,81.82 k€/MW,Non,0.0,2.5,.,0.0, > 15.0MW,1.9,30.0,,2.0,1.5,21.0,63.0,,0.6,2.5,30.5,,,,,,,,,,,,,,,,25,22.5,3.5,11,27.145,22.5
271,BAYET,BAYET,AUVERGNE-RHONE-ALPES,41%,722760.1,6574853.0,23.2,166.0,3.9,12.0,166.0,193.1,"Transfert de +16MW le 05/05/2023 associéàla mutation du TR 312, Trsft +100 MW le 21/09/23, Trsfrt +40 MW le 20/12/23 ",41.11 k€/MW,,0.0,0.0,Sans Objet,0.0, <= 0.0MW,0.0,40.0,,2.0,5.9,16.0,63.0,Mutation d'un transformateur de 20 en 36éMVA,26.0,53.1,7.9,,,,,,,,,,,,,,,,73,10.8,231.1,100,0.0,0.0
272,BAYEU,BAYEUX,BASSE-NORMANDIE,83%,431336.72,6912963.0,0.6,0.1,4.8,1.7,2.9,5.5,,11.94 k€/MW,,0.0,0.2,,0.0, > 15.0MW,0.0,72.0,,2.0,9.9,21.0,89.0,,2.9,3.3,77.3,,,,,,,,,,,,,,,,68,23.039999999999996,7.8999999999999995,10,69.57,23.039999999999996
273,BAYON,BAYON,GRAND-EST,78%,946023.25,6824736.0,0.5,3.7,2.8,4.4,4.4,7.0,28/12/2023 : -5 MW.,81.82 k€/MW,Non,0.0,4.8,.,0.0, > 15.0MW,7.8,40.0,,2.0,3.1,21.0,63.0,,5.6,13.9,33.0,,,,,,,,,,,,,,,,38,24.8,22.700000000000003,68,10.559999999999999,10.559999999999999
274,BAZAN,BAZANCOURT,GRAND-EST,78%,784098.1,6919017.5,2.5,1.8,0.6,9.1,2.0,4.9,28/12/2023 : -40.1 MW.. 18/11/2024 : +0.98 MW,81.82 k€/MW,Non,0.0,0.0,.,0.0, <= 0.0MW,0.0,108.0,,3.0,9.7,21.0,63.0,,2.0,4.6,106.6,,,,,,,,,,,,,,,,44,60.480000000000004,15.7,14,91.67599999999999,60.480000000000004
275,BAZAS,BAZAS,NOUVELLE-AQUITAINE,77%,443810.8,6373500.5,0.3,0.9,0.8,1.4,0.9,2.0,10/06/2024 : -3 MW vers AILLAS | 10/06/2024 : -3 MW vers AILLAS,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,6.8,50.0,,2.0,2.4,14.0,63.0,,0.9,8.0,50.1,,,,,,,,,,,,,,,,24,38.0,10.3,20,40.080000000000005,38.0
277,BEC  ,LE BEC,AUVERGNE-RHONE-ALPES,41%,802520.94,6477575.5,0.7,1.8,9.7,13.4,2.8,12.2,Trsf de +1 MW le 30/09/24,41.11 k€/MW,,0.0,10.2,Sans Objet,0.0, > 15.0MW,8.7,66.0,,2.0,7.2,21.0,62.0,,2.8,12.2,55.0,,,,,,,,,,,,,,,,54,30.36,28.4,51,26.95,26.95
278,BECHE,BECHE,NOUVELLE-AQUITAINE,77%,642476.56,6476762.5,1.3,5.8,0.0,6.1,6.1,6.5,19/09/2023 : -13.1 MW vers GOUDOUNECHE | 28/06/2024 : +2 MW depuis ARGENTAT,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.0,40.0,,2.0,1.4,21.0,89.0,,6.1,8.8,29.1,,,,,,,,,,,,,,,,17,33.199999999999996,21.0,72,8.148000000000001,8.148000000000001
279,BECQU,BECQUE,HAUTS-DE-FRANCE,54%,701290.3,7074138.0,0.2,0.3,28.1,1.6,0.3,28.6,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,1.0,142.0,,4.0,7.5,10.0,90.0,,0.3,28.6,147.6,,,,,,,,,,,,,,,,26,105.08,30.5,20,118.08,105.08
281,BEDAR,BEDARIEUX,OCCITANIE,35%,713666.0,6279318.0,0.0,0.4,16.6,4.3,0.4,17.0,_,81.6 k€/MW,,0.0,13.7,,, <= 0.0MW,0.6,40.0,,2.0,5.3,20.0,63.0,Mutation d'un transformateur de 20 en 36 MVA,0.4,17.0,40.5,,,,,,,,,,,,,,,,66,13.599999999999998,21.7,53,19.035,13.599999999999998
282,BEDOU,LA BEDOULE,PROVENCE-ALPES-COTE-D'AZUR,17%,909659.5,6242552.5,0.0,0.1,14.9,1.0,0.1,15.0,_,76.07 k€/MW,,0.0,15.0,,, <= 0.0MW,14.9,56.0,,2.0,3.6,15.0,63.0,,0.1,15.0,58.1,,,,,,,,,,,,,,,,32,38.08,16.1,27,42.413,38.08
283,BEGLE,BEGLES,NOUVELLE-AQUITAINE,77%,420268.78,6419162.0,0.2,0.4,1.6,1.6,0.4,2.2,.,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,1.6,108.0,,3.0,9.0,16.0,62.0,,0.4,2.2,114.6,,,,,,,,,,,,,,,,41,63.720000000000006,4.2,3,111.16199999999999,63.720000000000006
284,BELEM,BELEM,OCCITANIE,35%,569674.56,6223012.0,0.8,7.4,1.8,9.5,7.7,10.0,10/24 : trf -10MW adaptation,81.6 k€/MW,,0.0,0.0,Travaux de réhabilitation de la file 63 kV entre éRIVENEUVE et PORTET (Etat initial),0.0, <= 0.0MW,1.9,40.0,,2.0,2.8,20.0,63.0,,7.7,10.3,25.7,,,,,,,,,,,,,,,,35,26.0,27.5,100,0.0,0.0
