,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
28/01/2023,0.07,-0.06,0.10,-0.11,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-0.07,0.08,0.09,-0.09
29/01/2023,0.11,0.06,-0.11,-0.05,-0.09,-0.07,-0.01,0.17,-0.04,0.04,-0.13,0.13,0.13,-0.11,-0.06,0.04,0.02,-0.15,-0.02,0.14,0.15,0.00,-0.17,0.02
30/01/2023,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.07,-0.12,-0.05,0.09,0.00,0.00,0.00,0.00,0.08,0.09,-0.09,-0.07
31/01/2023,0.13,-0.05,-0.12,0.04,0.03,0.13,-0.11,-0.06,0.01,0.10,0.06,-0.17,0.11,-0.01,0.06,-0.15,0.10,0.06,-0.08,-0.08,0.02,0.11,0.04,-0.17
01/02/2023,-0.13,0.04,-0.04,0.13,-0.03,-0.14,0.05,0.12,0.09,0.02,0.06,-0.17,-0.09,-0.08,0.08,0.08,-0.17,0.10,0.05,0.01,-0.03,-0.08,-0.06,0.17
02/02/2023,0.05,0.03,0.09,-0.17,-0.07,0.13,-0.09,0.03,0.09,0.08,-0.12,-0.05,-0.10,0.04,-0.07,0.13,-0.17,0.10,0.06,0.00,-0.10,-0.06,0.02,0.15
03/02/2023,-0.09,-0.08,0.11,0.05,0.01,0.13,0.03,-0.17,0.03,-0.17,0.03,0.11,-0.16,0.08,0.09,-0.01,-0.09,0.08,0.09,-0.07,0.08,-0.04,0.08,-0.13
04/02/2023,-0.10,0.04,0.13,-0.06,-0.06,-0.05,-0.05,0.17,0.01,-0.14,0.16,-0.02,0.09,-0.11,0.08,-0.05,0.03,0.07,0.07,-0.17,0.09,0.08,-0.08,-0.09
05/02/2023,-0.03,0.05,0.12,-0.13,-0.04,-0.04,-0.09,0.17,0.04,0.04,0.08,-0.17,0.17,-0.10,-0.02,-0.05,0.03,-0.08,-0.09,0.14,0.04,-0.01,0.12,-0.16
06/02/2023,-0.06,-0.02,-0.09,0.17,-0.10,-0.07,0.05,0.11,0.05,0.08,0.04,-0.17,-0.07,0.14,0.02,-0.10,0.08,-0.07,0.08,-0.09,0.06,0.11,-0.05,-0.12
07/02/2023,0.00,1.00,0.00,1.00,0.06,0.10,-0.06,-0.11,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.04,-0.17
08/02/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
09/02/2023,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.04,0.12,-0.13,0.00,-1.00,0.00,0.00,-1.00,0.00,0.00,0.00
10/02/2023,0.00,1.00,0.00,0.00,0.00,1.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.07,0.00,0.10
11/02/2023,0.06,-0.11,-0.05,0.11,0.04,0.13,-0.07,-0.10,0.08,0.04,0.05,-0.17,-0.07,0.17,-0.05,-0.05,0.04,-0.06,-0.10,0.13,0.09,-0.16,-0.01,0.07
12/02/2023,-0.08,0.02,-0.09,0.15,0.06,-0.08,-0.08,0.11,-0.06,0.08,0.09,-0.10,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.03,0.09,0.05,-0.17
13/02/2023,0.04,0.01,0.11,-0.17,0.04,-0.08,-0.08,0.13,-0.16,0.05,0.12,0.00,-0.05,-0.12,0.09,0.07,0.05,-0.11,0.11,-0.06,-0.12,-0.05,0.07,0.09
14/02/2023,0.05,0.02,0.09,-0.17,-0.09,-0.08,0.09,0.08,-0.02,0.03,0.14,-0.15,0.08,-0.02,0.08,-0.15,-0.10,0.02,-0.07,0.15,0.04,0.13,-0.10,-0.07
15/02/2023,-0.11,-0.06,0.02,0.15,0.13,0.04,-0.04,-0.12,0.08,0.08,-0.06,-0.11,0.06,0.10,0.02,-0.17,0.08,-0.11,0.08,-0.06,0.15,-0.04,0.02,-0.12
16/02/2023,0.11,-0.11,-0.06,0.06,-0.04,-0.10,-0.03,0.17,0.05,0.10,0.02,-0.17,-0.06,-0.02,-0.09,0.17,0.08,-0.09,0.09,-0.08,0.10,0.01,0.06,-0.17
17/02/2023,0.15,-0.01,0.02,-0.15,-0.04,0.10,-0.12,0.07,-0.13,0.10,0.06,-0.04,0.05,0.11,-0.08,-0.09,0.11,-0.05,0.06,-0.11,-0.04,0.16,-0.12,0.01
18/02/2023,0.16,-0.03,0.01,-0.14,0.04,0.05,0.07,-0.17,-0.02,-0.11,-0.04,0.17,0.11,0.05,0.01,-0.17,-0.04,-0.06,0.17,-0.07,0.13,0.04,-0.08,-0.09
19/02/2023,0.01,0.11,0.04,-0.17,0.09,0.08,-0.05,-0.11,-0.06,0.00,-0.11,0.17,-0.08,0.00,-0.09,0.16,-0.07,0.17,-0.06,-0.03,-0.04,-0.06,-0.07,0.17
20/02/2023,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
21/02/2023,-0.04,-0.05,-0.08,0.17,-0.01,0.00,0.17,-0.16,-0.10,-0.07,0.07,0.10,-0.16,0.00,0.17,0.00,-0.14,0.03,0.14,-0.03,0.07,0.06,0.04,-0.17
22/02/2023,0.04,-0.09,-0.07,0.13,-0.12,0.05,0.12,-0.05,-0.12,0.03,-0.05,0.14,0.11,0.06,-0.05,-0.12,-0.07,-0.02,-0.08,0.17,-0.12,0.09,-0.05,0.08
23/02/2023,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,-0.07,-0.03,0.17,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00,0.00
24/02/2023,0.12,-0.11,-0.06,0.05,-0.10,-0.05,-0.01,0.17,0.17,-0.06,-0.06,-0.04,-0.17,0.10,0.06,0.00,-0.02,0.17,-0.03,-0.11,0.15,0.02,-0.16,-0.01
25/02/2023,0.00,0.02,0.14,-0.17,0.05,-0.10,-0.07,0.11,-0.16,0.00,0.16,0.01,0.09,0.02,-0.17,0.06,0.06,0.10,0.00,-0.17,-0.05,-0.05,-0.07,0.17
26/02/2023,-0.10,-0.07,0.11,0.06,0.09,-0.12,-0.04,0.07,0.12,0.02,-0.17,0.03,0.10,-0.13,0.06,-0.04,0.06,-0.02,-0.14,0.11,0.06,0.10,-0.12,-0.05
27/02/2023,0.17,-0.03,-0.03,-0.11,0.08,0.01,0.08,-0.17,-0.11,-0.05,0.12,0.05,0.04,-0.17,0.11,0.02,0.03,-0.05,0.14,-0.12,0.10,0.07,-0.06,-0.11
28/02/2023,-0.03,-0.05,-0.08,0.17,0.07,-0.10,-0.06,0.10,-0.04,0.09,-0.13,0.08,-0.03,0.06,-0.14,0.11,-0.08,-0.08,0.04,0.13,0.09,0.07,-0.01,-0.15
01/03/2023,0.08,0.08,-0.12,-0.05,-0.10,0.08,-0.07,0.09,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,-0.06,-0.11,0.01,0.16
02/03/2023,0.15,0.02,-0.02,-0.15,-0.05,0.15,0.02,-0.12,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00,0.00
03/03/2023,0.00,0.00,0.00,0.00,1.00,1.00,0.00,-1.00,-1.00,0.00,0.00,0.00,-0.08,0.09,-0.09,0.07,0.00,0.09,0.08,-0.17,-0.10,0.10,0.07,-0.06
04/03/2023,0.04,-0.09,-0.08,0.13,0.00,0.00,0.00,1.00,0.00,0.00,-1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
05/03/2023,0.00,0.00,0.00,0.00,0.13,-0.14,0.03,-0.03,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
06/03/2023,0.00,0.00,0.00,1.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,-0.09,0.03,0.13,-0.08,-0.08,0.16,0.01,-0.09,0.15,-0.14,-0.03,0.02
07/03/2023,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.04,0.13,-0.01,-0.15,0.00,0.00,0.00,0.00,-0.04,0.06,-0.12,0.10
08/03/2023,-0.07,0.17,-0.09,-0.01,0.09,0.00,0.08,-0.17,0.06,-0.08,-0.09,0.10,-0.02,-0.01,-0.14,0.17,0.07,0.08,0.02,-0.17,-0.08,-0.01,-0.08,0.17
09/03/2023,0.06,0.05,0.05,-0.17,-0.16,-0.01,0.00,0.17,-0.17,0.02,0.02,0.12,-0.13,0.01,-0.03,0.16,0.05,0.04,0.07,-0.17,-0.11,0.04,0.13,-0.06
10/03/2023,0.00,0.00,0.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
11/03/2023,-0.06,-0.10,0.01,0.16,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-1.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
12/03/2023,-0.08,0.02,-0.09,0.15,-0.12,0.03,0.13,-0.05,-0.01,-0.06,-0.10,0.17,0.11,-0.11,0.06,-0.06,0.00,-0.11,0.16,-0.06,0.12,-0.12,-0.05,0.04
13/03/2023,0.12,-0.17,0.05,0.00,-0.11,-0.06,0.11,0.06,0.00,0.07,0.09,-0.17,0.09,-0.08,-0.09,0.08,-0.03,-0.13,0.01,0.15,-0.02,-0.14,0.09,0.08
14/03/2023,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.03,0.14,-0.09,-0.08,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00
15/03/2023,-0.09,0.13,-0.07,0.03,-0.08,0.00,-0.08,0.17,-0.05,0.04,0.12,-0.11,0.06,0.04,0.06,-0.17,0.13,0.03,-0.10,-0.06,0.12,-0.11,-0.06,0.05
16/03/2023,-0.07,-0.09,0.05,0.12,0.14,-0.03,-0.14,0.03,0.01,-0.09,0.16,-0.07,0.10,-0.08,0.07,-0.08,0.00,-0.10,-0.07,0.17,0.09,-0.11,0.08,-0.05
17/03/2023,0.13,-0.12,0.04,-0.04,-0.10,-0.03,-0.04,0.17,0.10,-0.05,0.07,-0.12,-0.15,0.09,-0.02,0.08,-0.06,-0.07,-0.03,0.17,0.10,-0.08,-0.09,0.07
18/03/2023,-0.16,0.00,0.00,0.17,-0.09,-0.01,-0.07,0.17,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
