,,,,,,,Limitations pérennes,,Limitations temporaires,,,,,,,,,,,,
Code,Nom,Région,Voltage,Validation comité,État,Priorité,Injection,Soutirage,Injection,Soutirage,Proposition de raccordement,Responsable,Capacité accueil HTB1,Date envoi D1,Semaine envoi,Date réception D1,Score Poste,GeopointPoste,Délai de raccordement (mois),Commentaire ,D1 envoyés
MAIE,MAIE (LA),HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne impossible sur MAE > piquage GOSNAY-PERNES 90 kV,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,26/03/2024,1,"50.5193421002338, 2.480657757688534",,,1
DOULL,Doullens,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne sur DOULLENS 90 kV,Pierre-Olivier,<= 0.0MW,05/02/2024,Semaine 6 février 2024,26/03/2024,-,"50.146635862707065, 2.3383263744566",,,1
LISLE,Lislet,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 90 kV de LISLET,Pierre-Olivier,<= 0.0MW,07/02/2024,Semaine 6 février 2024,26/03/2024,-,"49.683472663253376, 4.012785391795",,,1
GOUVI,Gouvieux,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,antenne sur GOUVIEUX 225 kV,Pierre-Olivier,<= 0.0MW,07/02/2024,Semaine 6 février 2024,26/03/2024,-,"49.18266964387582, 2.3774907443931474",,,1
THIOT,Thiot,BASSE-NORMANDIE,225kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 225 kV de THIOT,Pierre-Olivier,<= 0.0MW,07/02/2024,Semaine 6 février 2024,26/03/2024,-,"48.75829841616186, -0.04353732963445708",,,1
SSPOL,St-Pol,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de ST POL,Pierre-Olivier,de 0.0MWà 15.0MW,07/02/2024,Semaine 6 février 2024,26/03/2024,-,"50.3871896609606, 2.3557343910545683",,,1
MARI6,Marie,AUVERGNE-RHÔNE-ALPES,63kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 63 kV de MARIENAU,Julien,> 15.0MW,07/02/2024,Semaine 6 février 2024,,1,"45.04450575223429, 5.01647458895935",,,1
MARN5,Marniere,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,0,2000,2000,antenne sur MARNIERE 90 kV,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.00898228751616, 1.4059609050910942",,,1
VAUDR,Vaudreuil,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne 90 kV sur le poste de VAUDREUIL,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.27712022593474, 1.1977231665789774",,,1
LOUV5,Louvet,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne 90 kV sur le poste de LOUVET,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.3496283113639, 0.38329500403424727",,,1
ECRAI,Ecrainville,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,0,0,0,Antenne 90 kV sur le poste d'ECRAINVILLE,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.64276199173948, 0.3293461261949806",51,,1
SAINN,Sainneville,HAUTE-NORMANDIE,225kV,NOGO,Reçu,,0,2000,0,2000,Antenne 90 kV sur le poste de SAINNEVILLE,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.55195924908589, 0.27478329932143486",,,1
HARCA,HARCANVILLE,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne 90 kV sur le poste d'HARCANVILLE,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.7076220796752, 0.7712924330649115",,,1
AUBER,Auberville,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne 90 kV sur le poste d'AUBERVILLE,Pierre-Olivier,> 15.0MW,22/02/2024,Semaine 8 février 2024,26/03/2024,1,"49.53024509601436, 0.5842289516084913",,,1
SAUCO,Saucourt,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,2000,0,0,2000,antenne sur SAUCOURT 90 kV,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,26/03/2024,1,"50.086569814412655, 1.5810462088207442",,,1
BRENO,Brenouille,HAUTS-DE-FRANCE,63kV,NOGO,Reçu,,2000,0,2000,2000,antenne sur BRENOUILLE 63 kV,Baptiste,> 15.0MW,28/02/2024,Semaine 9 février 2024,,"1,5","49.31457898889334, 2.5461230318067245",,,1
AMARG,Amargue,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,2000,2000,nécessité détendre le poste pour une nouvelle cellule pour un raccordement en antenne sur AMARGUE 225 kV,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,27/03/2024,1,"49.857970992186104, 2.2537107597405908",,,1
ARGOE,Argoeuves,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,2000,0,0,2000,antenne sur ARGOEUVES 90 kV,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,27/03/2024,1,"49.93959548036582, 2.250449188144369",,,1
QUENT,Quentois,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,2000,0,0,2000,antenne sur QUENTOIS 90 kV,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,27/03/2024,1,"49.88032478477604, 2.3721562247981223",,,1
BLOCA,BLOCAUX-GAUVILLE,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur BLOCAUX 90 kV,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,27/03/2024,1,"49.77202972002558, 1.782743089081921",,,1
G.CAI,Gros-Caillou,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,27/03/2024,1,"50.316954479516035, 3.339034800382462",2031,,1
SERQU,Serquigny,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne sur SERQUIGNY 90 kV,Pierre-Olivier,> 15.0MW,28/02/2024,Semaine 9 février 2024,27/03/2024,,"49.1267033948634, 0.7217712962018796",,,1
WOEST,Woestyne,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,,,,,"Antenne impossible sur WOESTYNE, poste client : affaire abandonnée",Pierre-Olivier,-,28/02/2024,Semaine 9 février 2024,27/03/2024,-,-,,RTE,1
LONGU,Longueil,HAUTS-DE-FRANCE,63kV,NOGO,Reçu,,2000,2000,0,0,"impossible de se raccorder sur le poste à proximité, c'est un poste SNCF
 il y aurait n piquage possible à proximité mais 4000 h/an limitations pérennes !",Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,"1,5","49.34458699733, 2.7317200132331134",,,1
BZBEL,Bourbel,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,0,0,0,antenne sur BOURBEL 90 kV,Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,1,"49.90556826540401, 1.6777950563201407",,,1
NEUF5,NEUFCHATEL,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne sur NEUFCHATEL 90 kV,Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,1,"49.724367952536646, 1.4246345480669387",,,1
PATIS,PATIS,HAUTS-DE-FRANCE,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,1,"49.39198884080804, 2.100678360818148",,,1
BACCH,BACCHUS,BASSE-NORMANDIE,90kV,NOGO,Reçu,,,,,,impossible car c'est un poste ENEDIS,Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,,"49.653613519281876, -1.7512340122328032",,,1
TOLME,TOLMER,BASSE-NORMANDIE,90kV,NOGO,Reçu,,0,0,2000,2000,antenne sur poste 90kV de TOLMER,Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,,"49.48972251365331, -1.687127791158494",,,1
SAONN,SAONNET,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne sur SAONNET 90kV,Pierre-Olivier,> 15.0MW,22/03/2024,Semaine 12 mars 2024,27/03/2024,,"49.25870083589162, -0.8898969530198313",,,1
GAEL,GAEL,BRETAGNE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 90 kV de GAEL,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.150962765441314, -2.2154983527906977",,,1
TRES5,TRESSE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de TRESSE,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.47612834732965, -1.885515303793001",,,1
SSSE5,ST-SERVAN,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de St SERVAN,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.62103008445559, -1.9458528047012518",,,1
BZSEU,BOURSEUL,BRETAGNE,63kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.44492454253775, -2.2843720683218423",,,1
ERQUY,ERQUY,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV d'ERQUY,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.6001751981382, -2.4523026657927907",,,1
GOSNE,GOSNE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de GOSNE,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.23931166198133, -1.463192273037357",,,1
BUTTE,BUTTE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de BUTTE,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.226172294300476, -1.2122343331167809",,,1
DOUAI,DOUAIRES,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV d'ERQUY,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.03820375672444, -1.3827282602418647",,,1
A.PLE,ARGENTRE-DU-PLESSIS,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV d'ARGENTRE DU PLESSIS,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.03991958128694, -1.1544524521765525",,,1
ROMA6,ROMAGNE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de ROMAGNE,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.34882216696987, -1.2502475886465714",,,1
VITRE,VITRE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,2000,0,Antenne sur le poste 90 kV de VITRE,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.12799551483839, -1.2391659209729669",,,1
DOBER,DOBERIE,BRETAGNE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de DOBERIE,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.50656066557301, -2.45417764357835",,,1
BRUZ,BRUZ,BRETAGNE,90kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 90 kV de BRUZ,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.00995299096237, -1.7736017231825782",,,1
MORIH,MORIHAN,BRETAGNE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 225kV de MORIHAN,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"47.939721784155765, -1.640156159831618",,,1
SEVIG,SEVIGNAC,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,2000,Antenne sur le poste 63kV de SEVIGNAC,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.31409709477385, -2.332090597649536",,,1
TADEN,Taden,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,2000,Antenne sur le poste 63kV de TADEN,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.49066160436401, -2.057692177840397",,,1
TINTE,TINTENIAC,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de TINTENIAC,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.320480464814956, -1.826264277529125",,,1
SERV6,SERVON,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de SERVON,Timothée,> 15.0MW,25/03/2024,Semaine 13 mars 2024,,1,"48.13328908328678, -1.4696319964299498",,,1
LONG7,LONGEVILLE,PAYS-DE-LA-LOIRE,90kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,26/03/2024,Semaine 13 mars 2024,,1,"46.433055677338636, -1.4881690711924351",,,1
SSGIL,ST-GILLES,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,"raccordement impossible sur le poste 90 kV ST GILLES (poste complet)
> antenne sur le poste 225 kV de SOULLANS",Timothée,> 15.0MW,26/03/2024,Semaine 13 mars 2024,,1,"46.69552877371376, -1.8900892090128414",,,1
COUE5,COUESMES,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur COUEMES 90 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,"1,5","47.55245760757049, 0.3302364161017592",,,1
CXNAY,CHAUNAY,CENTRE,225kV,NOGO,Reçu,P1,2000,2000,2000,2000,Antenne sur le poste 90kV de CHAUNAY,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"48.41403030473722, 1.4488231561608267",,,1
DRULI,DRULINGEN,GRAND-EST,63kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 63 kV de DRULINGEN,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"48.85884055033923, 7.203578114468957",,,1
GRIBO,LES GRIBOUZY,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur GRIBOUZY 90 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"47.676484581167514, 1.447249935928531",,,1
GRIPO,GRIPOY,CENTRE,90kV,NOGO,Reçu,,0,0,2000,2000,antenne sur GRIPOY 90 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"47.955201218853404, 2.760136599291034",,,1
LOUPE,LA LOUPE,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur LA LOUPE 90 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"48.46930013159616, 0.9953160814986131",,,1
MALES,MALESHERBES,CENTRE,63kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur MALESHERBES 63 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"48.28309748898842, 2.39980516711471",,,1
RAMBE,RAMBERVILLERS,GRAND-EST,63kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 63 kV de RAMBERVILLERS,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,27/05/2024,1,"48.36079061919549, 6.625846588112504",,,1
SAUVA,SAUVAGEON,CENTRE,63kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur MALESHERBES 63 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"48.28354384444978, 2.398060632075333",,,1
SORIG,SORIGNY,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,0,antenne sur ORIGNY 90 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"47.262321139762015, 0.7279027269804305",,,1
BLERE,BLERE,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur BLERE 90 kV,Oswald,> 15.0MW,27/03/2024,Semaine 13 mars 2024,,1,"47.30974937764006, 0.9652816144241865",,,1
CZTEN,COURTENAY,CENTRE,63kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur COURTENAY 63 kV,Oswald,> 15.0MW,28/03/2024,Semaine 13 mars 2024,,1,"48.02895156779871, 3.0643730096807102",,,1
TIZEE,TIZE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,2000,Antenne sur le poste 90 kV de TIZE,Timothée,> 15.0MW,01/04/2024,Semaine 14 avril 2024,15/07/2024,1,"48.139819221408864, -1.5854318718529203",,,1
GREPI,GREPILLES,AUVERGNE-RHÔNE-ALPES,400kV,NOGO,Reçu,,2000,0,2000,2000,antenne sur GREPILLES 63 kV,Julien,> 15.0MW,10/04/2024,Semaine 15 avril 2024,,1,"46.08248223875505, 4.117520593234501",,,1
VOLVI,VOLVIC,AUVERGNE-RHÔNE-ALPES,225kV,NOGO,Reçu,,2000,2000,0,0,piquage 225 kV sur ENVAL - VOLVIC,Julien,> 15.0MW,10/04/2024,Semaine 15 avril 2024,,"2,5","45.889472496951164, 3.0657549333290923",,,1
MARMA,MARMAGNE,CENTRE,400kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 225 kV de MARMAGNE,Oswald,> 15.0MW,12/04/2024,Semaine 15 avril 2024,,1,"47.10197460484188, 2.2602919318785495",,,1
AVOIN,AVOINE,CENTRE,225kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 225 kV d'AVOINE,Oswald,> 15.0MW,12/04/2024,Semaine 15 avril 2024,,"1,5","47.23079208171275, 0.17115980931286445",,,1
PAUDY,PAUDY,CENTRE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 225 kV de PAUDY,Oswald,,12/04/2024,Semaine 15 avril 2024,,-,"47.024665492808225, 1.9560413024844907",,,1
NUISE,NUISEMENT,CENTRE,225kV,,En attente,,-,-,-,-,-,Oswald,,12/04/2024,Semaine 15 avril 2024,,-,"48.708783749450994, 1.3827182896936359",,,1
F.ETO,FONTAINE-ETOUPEFOUR,BASSE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,2000,0,"le raccordement en piquage sur des lignes HTB1 n'est possible que jusqu'à 50 MW de puissance installée
 > antenne sur le poste de FONTAINE ETOUPEFOUR",Pierre-Olivier,> 15.0MW,12/04/2024,Semaine 15 avril 2024,,1,"49.13821255469773, -0.45935372644270483",,,1
GUISL,LE GUISLAIN,BASSE-NORMANDIE,90kV,NOGO,Reçu,,Non étudié,Non étudié,Non étudié,Non étudié,impossible poste privé ENEDIS,Pierre-Olivier,> 15.0MW,12/04/2024,Semaine 15 avril 2024,,1,"48.965947739172414, -1.223828328881861",,,1
MORTA,MORTAIN,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de MORTAIN,Pierre-Olivier,> 15.0MW,12/04/2024,Semaine 15 avril 2024,,1,"48.66342480118514, -0.9746116757641538",,,1
P.JER,PORT-JEROME,HAUTE-NORMANDIE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de PORT JEROME,Pierre-Olivier,> 15.0MW,12/04/2024,Semaine 15 avril 2024,,"1,5","49.48222988989397, 0.5517324577736593",,,1
MAUGE,MAUGES (LES),PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV LES MAUGES,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"47.26681108456311, -0.9439130683512721",,,1
DISTR,DISTRE,PAYS-DE-LA-LOIRE,400kV,NOGO,Reçu,,0,2000,2000,2000,"raccordement impossible sur DISTRE 225 kV par manque de place
> antenne sur le poste 90 kV de DISTRE",Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"47.208606827944315, -0.11452043438679696",,,1
CHEMI,CHEMILLE,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de CHEMILLE,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"47.21306941185706, -0.7521060221740702",,,1
BREI5,BREIL,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,0,2000,0,2000,Antenne sur le poste 90 kV de BREIL,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"47.47440408183821, 0.15026045964253534",,,1
THORI,THORIGNE,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de LEGUEVIN,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"47.65127529162685, -0.6410298907341819",,,1
GENET,GENET,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de GENET,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"47.17328030206684, -1.00846289782961",,,1
GOURA,LE GOURAY,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de GOURAY,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"48.30426604503169, -2.5051782419884248",,,1
GRUES,LES GRUES,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV LES GRUES,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"46.37184258265954, -1.3191926511795327",,,1
SSBR6,SAINT-BRICE,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de St BRICE,Timothée,> 15.0MW,14/04/2024,Semaine 15 avril 2024,,1,"48.41728654876181, -1.3870841331718107",,,1
QUINT,QUINTES (LES),PAYS-DE-LA-LOIRE,400kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 225 kV de LES QUINTES,Timothée,,15/04/2024,Semaine 16 avril 2024,,-,"47.88627877120843, 0.24023137401002873",,,1
ANSER,ANSEREUILLES(LES),HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur Ansereuille 225 kV,Pierre-Olivier,> 15.0MW,17/04/2024,Semaine 16 avril 2024,27/05/2024,"1,5","50.553817205607764, 2.9382062516346825",,,1
DOUVR,DOUVRIN,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur Douvrin 225 kV,Pierre-Olivier,> 15.0MW,17/04/2024,Semaine 16 avril 2024,,"1,5","50.508930140643976, 2.846556818649127",,,1
DECHY,DECHY,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,2000,Antenne sur DECHY 225 kV,Pierre-Olivier,,17/04/2024,Semaine 16 avril 2024,27/05/2024,"1,5","50.36128454932476, 3.138421874291953",,,1
LATEN,LATENA,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,,,,,"impossible de se raccorder sur LATENA 225 kV, plus de cellule disponible et pas d'extensio possible du poste 225 kV",Pierre-Olivier,,17/04/2024,Semaine 16 avril 2024,,1,"49.65767465980428, 2.937837138959122",,,1
LIMEU,LIMEUX,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,2000,2000,2000,0,Antenne sur LIMEUX 225 kV,Pierre-Olivier,,17/04/2024,Semaine 16 avril 2024,27/05/2024,1,"50.01087832424584, 1.8282431436079412",,,1
MORCH,MORCHIES,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur MORCHIES 225 kV,Pierre-Olivier,,17/04/2024,Semaine 16 avril 2024,27/05/2024,1,"50.126101974302195, 2.9519393981483604",,,1
V.SEP,VILLERS-SAINT-SEPULCRE,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur VILLERS ST SEPULCRE 225 kV,Pierre-Olivier,,17/04/2024,Semaine 16 avril 2024,27/05/2024,1,"49.35864164277698, 2.2014874715868253",,,1
VERTE,VERTEFEUILLE,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur VERTEUILLE 225 kV,Pierre-Olivier,,17/04/2024,Semaine 16 avril 2024,27/05/2024,-,"50.67623866367992, 3.0372934151640143",,,1
PTCHA,PONTCHATEAU,PAYS-DE-LA-LOIRE,225kV,,En attente,,-,-,-,-,-,Timothée,<= 0.0MW,21/04/2024,Semaine 16 avril 2024,,-,"47.431964550180155, -2.099963509292056",,,1
MAZE,MAZE,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 90 kV de MAZE,Timothée,> 15.0MW,21/04/2024,Semaine 16 avril 2024,15/07/2024,1,"47.43538125758414, -0.2678329786032951",,,1
AVRIL,AVRILLE,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV d'AVRILLE,Timothée,> 15.0MW,21/04/2024,Semaine 16 avril 2024,15/07/2024,1,"47.519948800902945, -0.5978190146989426",,,1
SSCAL,ST-CALAIS,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 225 kV de SAINT CALAIS,Timothée,> 15.0MW,21/04/2024,Semaine 16 avril 2024,,1,"47.917971462380265, 0.7288782787547884",,,1
COMM7,COMMERVEIL,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 225 kV de COMMERVEIL,Timothée,> 15.0MW,21/04/2024,Semaine 16 avril 2024,15/07/2024,1,"48.31666880059247, 0.3759196354334536",,,1
CPFL5,CHAMPFLEUR,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 225 kV de CHAMPSFLEUR,Timothée,> 15.0MW,21/04/2024,Semaine 16 avril 2024,15/07/2024,1,"48.37488629794223, 0.10538251967988434",,,1
MALVI,MALVILLERS,BOURGOGNE-FRANCHE-COMTÉ,Poste à créer,,En attente,,,,,,"cette boucle appartient à la SICAE EST,
 RTE ne peut pas raccorder sur ce poste",Oswald,<= 0.0MW,22/04/2024,Semaine 17 avril 2024,,-,Poste à Créer,,Poste SICAE ,1
GRAMO,GRAMONT,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,de 0.0MWà 15.0MW,22/04/2024,Semaine 17 avril 2024,,3,"43.63577697636141, 1.5025102251593352",,,1
VERLH,VERLHAGUET,OCCITANIE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de VERLHAGUET,Oswald,<= 0.0MW,22/04/2024,Semaine 17 avril 2024,,-,"43.982901341034356, 1.3172996415363565",,,1
VERFE,VERFEIL,OCCITANIE,400kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 225 kV de VERFEIL,Oswald,<= 0.0MW,22/04/2024,Semaine 17 avril 2024,,-,"43.62944163992887, 1.6721102123776057",,,1
MERIE,MERIE,CENTRE,90kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,22/04/2024,Semaine 17 avril 2024,,"1,5","47.792641293492984, 1.9280044839520558",,,1
VLERB,VILLERBON,CENTRE,400kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de VILLERBON,Oswald,> 15.0MW,22/04/2024,Semaine 17 avril 2024,,NOGO,"47.64891878123691, 1.3291331904126962",,,1
